noise_type,snr_train,snr_test,accuracy
white,0,0,0.7903885480572597
white,0,6,0.8413087934560327
white,0,12,0.8609406952965235
white,0,18,0.8711656441717791
white,0,24,0.8779141104294479
white,0,30,0.8775051124744376
white,6,0,0.7069529652351738
white,6,6,0.865439672801636
white,6,12,0.8930470347648262
white,6,18,0.9079754601226994
white,6,24,0.90920245398773
white,6,30,0.9151329243353783
white,12,0,0.5777096114519428
white,12,6,0.8646216768916155
white,12,12,0.9061349693251534
white,12,18,0.92719836400818
white,12,24,0.9349693251533743
white,12,30,0.9406952965235174
white,18,0,0.47116564417177914
white,18,6,0.8047034764826176
white,18,12,0.9192229038854806
white,18,18,0.9370143149284254
white,18,24,0.945398773006135
white,18,30,0.9482617586912065
white,24,0,0.23578732106339467
white,24,6,0.6081799591002045
white,24,12,0.898159509202454
white,24,18,0.9404907975460123
white,24,24,0.949079754601227
white,24,30,0.9543967280163599
white,30,0,0.2560327198364008
white,30,6,0.7323108384458078
white,30,12,0.8936605316973415
white,30,18,0.9368098159509203
white,30,24,0.9443762781186094
white,30,30,0.9501022494887525
pink,0,0,0.710838445807771
pink,0,6,0.8042944785276074
pink,0,12,0.8278118609406953
pink,0,18,0.8406952965235174
pink,0,24,0.8468302658486707
pink,0,30,0.8515337423312883
pink,6,0,0.6883435582822086
pink,6,6,0.8476482617586912
pink,6,12,0.8897750511247444
pink,6,18,0.9087934560327199
pink,6,24,0.9151329243353783
pink,6,30,0.9161554192229039
pink,12,0,0.5451942740286299
pink,12,6,0.8220858895705522
pink,12,12,0.903680981595092
pink,12,18,0.9257668711656442
pink,12,24,0.9372188139059304
pink,12,30,0.940081799591002
pink,18,0,0.2950920245398773
pink,18,6,0.7889570552147239
pink,18,12,0.9038854805725971
pink,18,18,0.9347648261758691
pink,18,24,0.9466257668711656
pink,18,30,0.9521472392638037
pink,24,0,0.20879345603271984
pink,24,6,0.6488752556237218
pink,24,12,0.8752556237218814
pink,24,18,0.9351738241308793
pink,24,24,0.947239263803681
pink,24,30,0.9552147239263804
pink,30,0,0.17259713701431492
pink,30,6,0.5548057259713701
pink,30,12,0.8862985685071575
pink,30,18,0.9282208588957055
pink,30,24,0.9464212678936605
pink,30,30,0.9529652351738241
babble,0,0,0.7537832310838446
babble,0,6,0.8693251533742331
babble,0,12,0.9075664621676892
babble,0,18,0.9220858895705522
babble,0,24,0.9265848670756647
babble,0,30,0.9306748466257668
babble,6,0,0.754601226993865
