noise_type,snr_train,snr_test,accuracy
street_music_foreground,-3,-3,0.585480572597137
street_music_foreground,-3,0,0.6756646216768916
street_music_foreground,-3,3,0.7456032719836401
street_music_foreground,-3,6,0.7901840490797546
street_music_foreground,-3,9,0.8208588957055215
street_music_foreground,-3,12,0.8372188139059304
street_music_foreground,-3,15,0.8482617586912066
street_music_foreground,-3,18,0.8580777096114519
street_music_foreground,-3,21,0.8601226993865031
street_music_foreground,-3,24,0.8580777096114519
street_music_foreground,-3,27,0.8586912065439672
street_music_foreground,-3,30,0.8603271983640082
street_music_foreground,0,-3,0.5887525562372188
street_music_foreground,0,0,0.7034764826175869
street_music_foreground,0,3,0.7822085889570553
street_music_foreground,0,6,0.8302658486707567
street_music_foreground,0,9,0.8623721881390594
street_music_foreground,0,12,0.8824130879345603
street_music_foreground,0,15,0.8934560327198364
street_music_foreground,0,18,0.8979550102249488
street_music_foreground,0,21,0.9051124744376278
street_music_foreground,0,24,0.9069529652351738
street_music_foreground,0,27,0.907361963190184
street_music_foreground,0,30,0.9083844580777096
street_music_foreground,3,-3,0.5687116564417178
street_music_foreground,3,0,0.7075664621676891
street_music_foreground,3,3,0.7973415132924335
street_music_foreground,3,6,0.8443762781186094
street_music_foreground,3,9,0.8775051124744376
street_music_foreground,3,12,0.8948875255623722
street_music_foreground,3,15,0.9075664621676892
street_music_foreground,3,18,0.9139059304703476
street_music_foreground,3,21,0.9179959100204499
street_music_foreground,3,24,0.9224948875255624
street_music_foreground,3,27,0.9235173824130879
street_music_foreground,3,30,0.9249488752556237
street_music_foreground,6,-3,0.5548057259713701
street_music_foreground,6,0,0.7010224948875255
street_music_foreground,6,3,0.7979550102249489
street_music_foreground,6,6,0.8523517382413088
street_music_foreground,6,9,0.8834355828220859
street_music_foreground,6,12,0.9028629856850716
street_music_foreground,6,15,0.9139059304703476
street_music_foreground,6,18,0.9208588957055215
street_music_foreground,6,21,0.9257668711656442
street_music_foreground,6,24,0.9300613496932515
street_music_foreground,6,27,0.9337423312883436
street_music_foreground,6,30,0.932719836400818
street_music_foreground,9,-3,0.45991820040899795
street_music_foreground,9,0,0.645398773006135
street_music_foreground,9,3,0.7822085889570553
street_music_foreground,9,6,0.8523517382413088
street_music_foreground,9,9,0.8934560327198364
street_music_foreground,9,12,0.9106339468302659
street_music_foreground,9,15,0.9212678936605317
street_music_foreground,9,18,0.9269938650306748
street_music_foreground,9,21,0.9321063394683027
street_music_foreground,9,24,0.938036809815951
street_music_foreground,9,27,0.9404907975460123
street_music_foreground,9,30,0.9411042944785276
street_music_foreground,12,-3,0.4343558282208589
street_music_foreground,12,0,0.6165644171779141
street_music_foreground,12,3,0.7588957055214723
street_music_foreground,12,6,0.8411042944785276
street_music_foreground,12,9,0.8871165644171779
street_music_foreground,12,12,0.9114519427402863
street_music_foreground,12,15,0.9255623721881391
street_music_foreground,12,18,0.9296523517382413
street_music_foreground,12,21,0.9353783231083844
street_music_foreground,12,24,0.9386503067484663
street_music_foreground,12,27,0.9413087934560327
street_music_foreground,12,30,0.9433537832310839
street_music_foreground,15,-3,0.3609406952965235
street_music_foreground,15,0,0.5458077709611452
street_music_foreground,15,3,0.7253578732106339
street_music_foreground,15,6,0.8278118609406953
street_music_foreground,15,9,0.8850715746421268
street_music_foreground,15,12,0.9147239263803681
street_music_foreground,15,15,0.9278118609406953
street_music_foreground,15,18,0.9343558282208589
street_music_foreground,15,21,0.940081799591002
street_music_foreground,15,24,0.9433537832310839
street_music_foreground,15,27,0.9476482617586912
street_music_foreground,15,30,0.9496932515337423
street_music_foreground,18,-3,0.36912065439672803
street_music_foreground,18,0,0.5496932515337424
street_music_foreground,18,3,0.7212678936605317
street_music_foreground,18,6,0.8249488752556238
street_music_foreground,18,9,0.8830265848670756
street_music_foreground,18,12,0.9124744376278119
street_music_foreground,18,15,0.9284253578732107
