noise_type,snr_train,snr_test,accuracy
white,-3,-3,0.6071574642126789
white,-3,0,0.6828220858895706
white,-3,3,0.6987730061349693
white,-3,6,0.730879345603272
white,-3,9,0.7312883435582822
white,-3,12,0.7533742331288343
white,-3,15,0.7558282208588957
white,-3,18,0.7607361963190185
white,-3,21,0.7680981595092025
white,-3,24,0.7717791411042945
white,-3,27,0.778118609406953
white,-3,30,0.7811860940695297
white,0,-3,0.6513292433537833
white,0,0,0.6914110429447853
white,0,3,0.7388548057259714
white,0,6,0.767280163599182
white,0,9,0.7801635991820041
white,0,12,0.7883435582822086
white,0,15,0.7957055214723926
white,0,18,0.8020449897750511
white,0,21,0.8049079754601227
white,0,24,0.8079754601226994
white,0,27,0.805521472392638
white,0,30,0.8096114519427403
white,3,-3,0.6280163599182004
white,3,0,0.7196319018404908
white,3,3,0.7779141104294478
white,3,6,0.8012269938650307
white,3,9,0.8134969325153374
white,3,12,0.8196319018404908
white,3,15,0.8265848670756646
white,3,18,0.8339468302658487
white,3,21,0.8359918200408998
white,3,24,0.8384458077709611
white,3,27,0.8378323108384458
white,3,30,0.8406952965235174
white,6,-3,0.44314928425357875
white,6,0,0.7053169734151329
white,6,3,0.8032719836400818
white,6,6,0.8280163599182004
white,6,9,0.8443762781186094
white,6,12,0.8511247443762782
white,6,15,0.8511247443762782
white,6,18,0.86359918200409
white,6,21,0.8656441717791411
white,6,24,0.8680981595092024
white,6,27,0.8685071574642127
white,6,30,0.8715746421267894
white,9,-3,0.35746421267893663
white,9,0,0.6640081799591002
white,9,3,0.7961145194274029
white,9,6,0.8343558282208589
white,9,9,0.8595092024539878
white,9,12,0.8656441717791411
white,9,15,0.8685071574642127
white,9,18,0.8777096114519427
white,9,21,0.8793456032719836
white,9,24,0.8840490797546012
white,9,27,0.8875255623721882
white,9,30,0.8889570552147239
white,12,-3,0.3016359918200409
white,12,0,0.5190184049079755
white,12,3,0.6867075664621677
white,12,6,0.8257668711656442
white,12,9,0.8652351738241308
white,12,12,0.8803680981595092
white,12,15,0.8959100204498978
white,12,18,0.8983640081799591
white,12,21,0.9030674846625767
white,12,24,0.907361963190184
white,12,27,0.9083844580777096
white,12,30,0.9114519427402863
white,15,-3,0.15787321063394683
white,15,0,0.32515337423312884
white,15,3,0.5179959100204499
white,15,6,0.7828220858895706
white,15,9,0.849284253578732
white,15,12,0.8875255623721882
white,15,15,0.9061349693251534
white,15,18,0.9122699386503067
white,15,21,0.9139059304703476
white,15,24,0.9208588957055215
white,15,27,0.9229038854805726
white,15,30,0.9249488752556237
white,18,-3,0.10531697341513292
white,18,0,0.24130879345603273
white,18,3,0.3652351738241309
white,18,6,0.66359918200409
white,18,9,0.7838445807770961
white,18,12,0.8789366053169734
white,18,15,0.9104294478527607
white,18,18,0.9190184049079755
white,18,21,0.9235173824130879
white,18,24,0.9310838445807771
white,18,27,0.9335378323108384
white,18,30,0.9361963190184049
white,21,-3,0.1149284253578732
white,21,0,0.20552147239263804
white,21,3,0.39059304703476483
white,21,6,0.6568507157464213
white,21,9,0.8141104294478527
white,21,12,0.8893660531697342
white,21,15,0.9040899795501023
white,21,18,0.9265848670756647
white,21,21,0.9300613496932515
white,21,24,0.932719836400818
white,21,27,0.9366053169734151
white,21,30,0.9415132924335379
white,24,-3,0.1065439672801636
white,24,0,0.2116564417177914
white,24,3,0.3971370143149284
white,24,6,0.5725971370143149
white,24,9,0.7024539877300614
white,24,12,0.8717791411042944
white,24,15,0.9022494887525563
white,24,18,0.9278118609406953
white,24,21,0.932719836400818
white,24,24,0.9366053169734151
white,24,27,0.943762781186094
white,24,30,0.9474437627811861
white,27,-3,0.10061349693251534
white,27,0,0.20081799591002045
white,27,3,0.32413087934560325
white,27,6,0.6267893660531697
white,27,9,0.7370143149284254
white,27,12,0.8775051124744376
white,27,15,0.9032719836400818
white,27,18,0.9247443762781186
white,27,21,0.9361963190184049
white,27,24,0.9415132924335379
white,27,27,0.943762781186094
white,27,30,0.9503067484662576
white,30,-3,0.10102249488752556
white,30,0,0.1456032719836401
white,30,3,0.2889570552147239
white,30,6,0.5077709611451943
white,30,9,0.7319018404907975
white,30,12,0.86359918200409
white,30,15,0.8979550102249488
white,30,18,0.9263803680981595
white,30,21,0.9370143149284254
white,30,24,0.9392638036809816
white,30,27,0.9449897750511247
white,30,30,0.9486707566462168
pink,-3,-3,0.5251533742331288
pink,-3,0,0.5862985685071574
pink,-3,3,0.6793456032719837
pink,-3,6,0.6938650306748466
pink,-3,9,0.7302658486707566
pink,-3,12,0.7445807770961145
pink,-3,15,0.7576687116564417
pink,-3,18,0.7644171779141105
pink,-3,21,0.7787321063394683
pink,-3,24,0.7832310838445807
pink,-3,27,0.7905930470347649
pink,-3,30,0.7938650306748466
pink,0,-3,0.5161554192229039
pink,0,0,0.6492842535787321
pink,0,3,0.7179959100204499
pink,0,6,0.7460122699386503
pink,0,9,0.7611451942740286
pink,0,12,0.7820040899795501
pink,0,15,0.7903885480572597
pink,0,18,0.7995910020449898
pink,0,21,0.8042944785276074
pink,0,24,0.8102249488752556
pink,0,27,0.8141104294478527
pink,0,30,0.8137014314928426
pink,3,-3,0.4484662576687117
pink,3,0,0.5957055214723926
pink,3,3,0.7357873210633947
pink,3,6,0.7842535787321063
pink,3,9,0.8038854805725971
pink,3,12,0.8190184049079755
pink,3,15,0.8247443762781186
pink,3,18,0.8351738241308794
pink,3,21,0.8423312883435583
pink,3,24,0.8433537832310839
pink,3,27,0.8478527607361963
pink,3,30,0.8464212678936606
pink,6,-3,0.36728016359918203
pink,6,0,0.6486707566462168
pink,6,3,0.7206543967280163
pink,6,6,0.7946830265848671
pink,6,9,0.8261758691206544
pink,6,12,0.845398773006135
pink,6,15,0.8505112474437628
pink,6,18,0.8564417177914111
pink,6,21,0.8625766871165644
pink,6,24,0.8683026584867075
pink,6,27,0.867280163599182
pink,6,30,0.8705521472392638
pink,9,-3,0.1934560327198364
pink,9,0,0.3834355828220859
pink,9,3,0.696319018404908
pink,9,6,0.7848670756646217
pink,9,9,0.8433537832310839
pink,9,12,0.8638036809815951
pink,9,15,0.8770961145194274
pink,9,18,0.8834355828220859
pink,9,21,0.8905930470347648
pink,9,24,0.8940695296523518
pink,9,27,0.8977505112474438
pink,9,30,0.8997955010224948
pink,12,-3,0.1476482617586912
pink,12,0,0.3128834355828221
pink,12,3,0.5899795501022495
pink,12,6,0.7566462167689162
pink,12,9,0.8439672801635992
pink,12,12,0.87280163599182
pink,12,15,0.8901840490797546
pink,12,18,0.8965235173824131
pink,12,21,0.903680981595092
pink,12,24,0.9094069529652352
pink,12,27,0.9147239263803681
pink,12,30,0.9114519427402863
pink,15,-3,0.12188139059304703
pink,15,0,0.285480572597137
pink,15,3,0.5492842535787321
pink,15,6,0.7251533742331289
pink,15,9,0.8376278118609407
pink,15,12,0.8871165644171779
pink,15,15,0.9002044989775051
pink,15,18,0.9049079754601227
pink,15,21,0.9134969325153375
pink,15,24,0.9159509202453988
pink,15,27,0.9202453987730062
pink,15,30,0.9243353783231084
pink,18,-3,0.13026584867075663
pink,18,0,0.27627811860940693
pink,18,3,0.40224948875255623
pink,18,6,0.714519427402863
pink,18,9,0.8237218813905931
pink,18,12,0.8828220858895706
pink,18,15,0.9026584867075664
pink,18,18,0.916359918200409
pink,18,21,0.9171779141104295
pink,18,24,0.9243353783231084
pink,18,27,0.9294478527607362
pink,18,30,0.9304703476482618
pink,21,-3,0.09202453987730061
pink,21,0,0.16503067484662576
pink,21,3,0.33865030674846625
pink,21,6,0.5288343558282208
pink,21,9,0.7640081799591002
pink,21,12,0.8658486707566462
pink,21,15,0.9049079754601227
pink,21,18,0.9229038854805726
pink,21,21,0.9296523517382413
pink,21,24,0.93640081799591
pink,21,27,0.9368098159509203
pink,21,30,0.9421267893660532
pink,24,-3,0.08609406952965235
pink,24,0,0.1361963190184049
pink,24,3,0.2443762781186094
pink,24,6,0.4149284253578732
pink,24,9,0.6807770961145194
pink,24,12,0.8505112474437628
pink,24,15,0.9008179959100204
pink,24,18,0.9208588957055215
pink,24,21,0.9341513292433538
pink,24,24,0.9368098159509203
pink,24,27,0.941717791411043
pink,24,30,0.9447852760736196
pink,27,-3,0.08977505112474438
pink,27,0,0.1558282208588957
pink,27,3,0.3184049079754601
pink,27,6,0.4918200408997955
pink,27,9,0.7519427402862986
pink,27,12,0.8644171779141104
pink,27,15,0.9024539877300614
pink,27,18,0.9224948875255624
pink,27,21,0.930879345603272
pink,27,24,0.9394683026584867
pink,27,27,0.9443762781186094
pink,27,30,0.947239263803681
pink,30,-3,0.10020449897750511
pink,30,0,0.15623721881390593
pink,30,3,0.2940695296523517
pink,30,6,0.5175869120654397
pink,30,9,0.7717791411042945
