noise_type,snr_train,snr_test,accuracy
white,-3,-3,0.5521472392638037
white,-3,0,0.6333333333333333
white,-3,3,0.6539877300613497
white,-3,6,0.6948875255623722
white,-3,9,0.7077709611451942
white,-3,12,0.7173824130879346
white,-3,15,0.7351738241308794
white,-3,18,0.7370143149284254
white,-3,21,0.7501022494887526
white,-3,24,0.7468302658486707
white,-3,27,0.7521472392638037
white,-3,30,0.7586912065439673
white,0,-3,0.588957055214724
white,0,0,0.7087934560327198
white,0,3,0.7484662576687117
white,0,6,0.7709611451942741
white,0,9,0.7756646216768917
white,0,12,0.7736196319018405
white,0,15,0.7897750511247443
white,0,18,0.7928425357873211
white,0,21,0.7995910020449898
white,0,24,0.8010224948875255
white,0,27,0.801840490797546
white,0,30,0.8065439672801636
white,3,-3,0.6100204498977505
white,3,0,0.7171779141104294
white,3,3,0.7433537832310838
white,3,6,0.7770961145194274
white,3,9,0.781799591002045
white,3,12,0.7826175869120654
white,3,15,0.7936605316973415
white,3,18,0.8032719836400818
white,3,21,0.80920245398773
white,3,24,0.8128834355828221
white,3,27,0.8128834355828221
white,3,30,0.8141104294478527
white,6,-3,0.3820040899795501
white,6,0,0.6603271983640082
white,6,3,0.7353783231083845
white,6,6,0.807361963190184
white,6,9,0.8259713701431493
white,6,12,0.821881390593047
white,6,15,0.8325153374233129
white,6,18,0.8339468302658487
white,6,21,0.841922290388548
white,6,24,0.8447852760736196
white,6,27,0.841717791411043
white,6,30,0.847443762781186
white,9,-3,0.36462167689161556
white,9,0,0.5666666666666667
white,9,3,0.7572597137014315
white,9,6,0.8061349693251534
white,9,9,0.8366053169734151
white,9,12,0.847443762781186
white,9,15,0.8554192229038855
white,9,18,0.8562372188139059
white,9,21,0.8644171779141104
white,9,24,0.8666666666666667
white,9,27,0.8666666666666667
white,9,30,0.8666666666666667
white,12,-3,0.27607361963190186
white,12,0,0.5274028629856851
white,12,3,0.7736196319018405
white,12,6,0.8216768916155419
white,12,9,0.8519427402862986
white,12,12,0.8644171779141104
white,12,15,0.872597137014315
white,12,18,0.8779141104294479
white,12,21,0.8791411042944786
white,12,24,0.8807770961145194
white,12,27,0.8893660531697342
white,12,30,0.887321063394683
white,15,-3,0.25807770961145193
white,15,0,0.42862985685071575
white,15,3,0.5993865030674846
white,15,6,0.7603271983640082
white,15,9,0.8501022494887526
white,15,12,0.878118609406953
white,15,15,0.8895705521472392
white,15,18,0.8924335378323108
white,15,21,0.9006134969325154
white,15,24,0.9010224948875256
white,15,27,0.9044989775051124
white,15,30,0.9044989775051124
white,18,-3,0.1474437627811861
white,18,0,0.3838445807770961
white,18,3,0.5384458077709612
white,18,6,0.7519427402862986
white,18,9,0.8147239263803681
white,18,12,0.8795501022494887
white,18,15,0.8979550102249488
white,18,18,0.9067484662576687
white,18,21,0.9085889570552147
white,18,24,0.9122699386503067
white,18,27,0.9171779141104295
white,18,30,0.9171779141104295
white,21,-3,0.11820040899795502
white,21,0,0.22249488752556237
white,21,3,0.434560327198364
white,21,6,0.7069529652351738
white,21,9,0.8231083844580777
white,21,12,0.865439672801636
white,21,15,0.8979550102249488
white,21,18,0.9047034764826176
white,21,21,0.9124744376278119
white,21,24,0.9141104294478528
white,21,27,0.9175869120654396
white,21,30,0.9210633946830266
white,24,-3,0.14130879345603273
white,24,0,0.30224948875255625
white,24,3,0.46278118609406954
white,24,6,0.6586912065439673
white,24,9,0.8333333333333334
white,24,12,0.8777096114519427
white,24,15,0.9067484662576687
white,24,18,0.9167689161554192
white,24,21,0.9184049079754601
white,24,24,0.9265848670756647
white,24,27,0.9257668711656442
white,24,30,0.9286298568507158
white,27,-3,0.08916155419222904
white,27,0,0.25337423312883434
white,27,3,0.33721881390593045
white,27,6,0.59079754601227
white,27,9,0.7746421267893661
white,27,12,0.8586912065439672
white,27,15,0.8779141104294479
white,27,18,0.9026584867075664
white,27,21,0.9151329243353783
white,27,24,0.9177914110429448
white,27,27,0.9222903885480572
white,27,30,0.9229038854805726
white,30,-3,0.11288343558282209
white,30,0,0.22740286298568507
white,30,3,0.43742331288343556
white,30,6,0.6220858895705521
white,30,9,0.8006134969325154
white,30,12,0.8770961145194274
white,30,15,0.903680981595092
white,30,18,0.9186094069529652
white,30,21,0.9274028629856851
white,30,24,0.9276073619631902
white,30,27,0.9323108384458078
white,30,30,0.93640081799591
pink,-3,-3,0.5196319018404908
pink,-3,0,0.594683026584867
pink,-3,3,0.6435582822085889
pink,-3,6,0.6875255623721881
pink,-3,9,0.7106339468302658
pink,-3,12,0.7343558282208589
pink,-3,15,0.7394683026584867
pink,-3,18,0.7439672801635991
pink,-3,21,0.7621676891615542
pink,-3,24,0.7664621676891615
pink,-3,27,0.7756646216768917
pink,-3,30,0.7760736196319018
pink,0,-3,0.5002044989775051
pink,0,0,0.6282208588957056
pink,0,3,0.6560327198364008
pink,0,6,0.7161554192229039
pink,0,9,0.7408997955010225
pink,0,12,0.7658486707566462
pink,0,15,0.776278118609407
pink,0,18,0.7838445807770961
pink,0,21,0.7922290388548058
pink,0,24,0.7971370143149284
pink,0,27,0.8030674846625767
pink,0,30,0.8096114519427403
pink,3,-3,0.3394683026584867
pink,3,0,0.6128834355828221
pink,3,3,0.7294478527607362
pink,3,6,0.7697341513292434
pink,3,9,0.7889570552147239
pink,3,12,0.8085889570552147
pink,3,15,0.8179959100204499
pink,3,18,0.8292433537832311
pink,3,21,0.8370143149284254
pink,3,24,0.8404907975460123
pink,3,27,0.8413087934560327
pink,3,30,0.8441717791411043
pink,6,-3,0.3067484662576687
pink,6,0,0.5758691206543968
pink,6,3,0.7378323108384458
pink,6,6,0.7926380368098159
pink,6,9,0.8149284253578732
pink,6,12,0.8269938650306748
pink,6,15,0.8408997955010225
pink,6,18,0.8484662576687116
pink,6,21,0.8568507157464212
pink,6,24,0.8593047034764826
pink,6,27,0.8615541922290388
pink,6,30,0.8642126789366054
pink,9,-3,0.17975460122699385
pink,9,0,0.4274028629856851
pink,9,3,0.6848670756646217
pink,9,6,0.7801635991820041
pink,9,9,0.8276073619631902
pink,9,12,0.847239263803681
pink,9,15,0.8580777096114519
pink,9,18,0.8695296523517383
