noise_type,snr_train,snr_test,accuracy
white,-3,-3,0.5468302658486708
white,-3,0,0.6533742331288344
white,-3,3,0.7038854805725971
white,-3,6,0.687321063394683
white,-3,9,0.718200408997955
white,-3,12,0.7271983640081799
white,-3,15,0.7429447852760737
white,-3,18,0.7552147239263803
white,-3,21,0.7617586912065439
white,-3,24,0.7668711656441718
white,-3,27,0.7715746421267894
white,-3,30,0.7785276073619631
white,0,-3,0.5725971370143149
white,0,0,0.623517382413088
white,0,3,0.7286298568507158
white,0,6,0.7415132924335378
white,0,9,0.7629856850715746
white,0,12,0.7658486707566462
white,0,15,0.7705521472392638
white,0,18,0.7867075664621677
white,0,21,0.7932515337423313
white,0,24,0.8002044989775051
white,0,27,0.8032719836400818
white,0,30,0.8057259713701431
white,3,-3,0.5384458077709612
white,3,0,0.6920245398773006
white,3,3,0.7748466257668711
white,3,6,0.801840490797546
white,3,9,0.8188139059304703
white,3,12,0.8233128834355828
white,3,15,0.8263803680981595
white,3,18,0.8355828220858895
white,3,21,0.8359918200408998
white,3,24,0.8402862985685071
white,3,27,0.8406952965235174
white,3,30,0.8443762781186094
white,6,-3,0.4175869120654397
white,6,0,0.629243353783231
white,6,3,0.7599182004089979
white,6,6,0.8212678936605317
white,6,9,0.83640081799591
white,6,12,0.849079754601227
white,6,15,0.8535787321063395
white,6,18,0.8611451942740286
white,6,21,0.8644171779141104
white,6,24,0.8666666666666667
white,6,27,0.8693251533742331
white,6,30,0.865439672801636
white,9,-3,0.5067484662576687
white,9,0,0.7028629856850716
white,9,3,0.7840490797546013
white,9,6,0.8298568507157464
white,9,9,0.8580777096114519
white,9,12,0.8617586912065439
white,9,15,0.867280163599182
white,9,18,0.87280163599182
white,9,21,0.879959100204499
white,9,24,0.8795501022494887
white,9,27,0.8811860940695296
white,9,30,0.8807770961145194
white,12,-3,0.2920245398773006
white,12,0,0.4834355828220859
white,12,3,0.7325153374233129
white,12,6,0.8122699386503067
white,12,9,0.8670756646216768
white,12,12,0.881799591002045
white,12,15,0.8875255623721882
white,12,18,0.8905930470347648
white,12,21,0.8942740286298568
white,12,24,0.901840490797546
white,12,27,0.905316973415133
white,12,30,0.9059304703476483
white,15,-3,0.15664621676891616
white,15,0,0.33844580777096117
white,15,3,0.5660531697341513
white,15,6,0.7666666666666667
white,15,9,0.8408997955010225
white,15,12,0.880163599182004
white,15,15,0.8961145194274028
white,15,18,0.9065439672801636
white,15,21,0.9112474437627812
white,15,24,0.9137014314928426
white,15,27,0.918200408997955
white,15,30,0.9200408997955011
white,18,-3,0.1439672801635992
white,18,0,0.27177914110429446
white,18,3,0.481799591002045
white,18,6,0.7427402862985685
white,18,9,0.8010224948875255
white,18,12,0.8820040899795502
white,18,15,0.9047034764826176
white,18,18,0.9114519427402863
white,18,21,0.9165644171779141
white,18,24,0.9206543967280164
white,18,27,0.9229038854805726
white,18,30,0.9265848670756647
white,21,-3,0.10633946830265849
white,21,0,0.2312883435582822
white,21,3,0.4443762781186094
white,21,6,0.658282208588957
white,21,9,0.8263803680981595
white,21,12,0.8803680981595092
white,21,15,0.901840490797546
white,21,18,0.9204498977505112
white,21,21,0.9220858895705522
white,21,24,0.9286298568507158
white,21,27,0.9325153374233128
white,21,30,0.9374233128834356
white,24,-3,0.10449897750511247
white,24,0,0.18650306748466258
white,24,3,0.47157464212678935
white,24,6,0.5701431492842536
white,24,9,0.7736196319018405
white,24,12,0.8795501022494887
white,24,15,0.907157464212679
white,24,18,0.9212678936605317
white,24,21,0.92719836400818
white,24,24,0.9312883435582822
white,24,27,0.9368098159509203
white,24,30,0.9411042944785276
white,27,-3,0.09386503067484663
white,27,0,0.1554192229038855
white,27,3,0.2813905930470348
white,27,6,0.4766871165644172
white,27,9,0.7748466257668711
white,27,12,0.8595092024539878
white,27,15,0.901840490797546
white,27,18,0.9253578732106339
white,27,21,0.9325153374233128
white,27,24,0.9378323108384458
white,27,27,0.9408997955010225
white,27,30,0.9460122699386503
white,30,-3,0.09550102249488752
white,30,0,0.12883435582822086
white,30,3,0.2378323108384458
white,30,6,0.49222903885480573
white,30,9,0.7073619631901841
