noise_type,snr_train,snr_test,accuracy
white,-3,-3,0.6411042944785276
white,-3,0,0.6705521472392638
white,-3,3,0.7026584867075665
white,-3,6,0.7261758691206543
white,-3,9,0.7316973415132925
white,-3,12,0.7507157464212679
white,-3,15,0.7543967280163599
white,-3,18,0.7664621676891615
white,-3,21,0.7697341513292434
white,-3,24,0.7775051124744377
white,-3,27,0.7811860940695297
white,-3,30,0.7824130879345603
white,0,-3,0.6110429447852761
white,0,0,0.6924335378323109
white,0,3,0.7496932515337423
white,0,6,0.7805725971370143
white,0,9,0.7967280163599182
white,0,12,0.8006134969325154
white,0,15,0.8075664621676891
white,0,18,0.8102249488752556
white,0,21,0.8153374233128834
white,0,24,0.8165644171779141
white,0,27,0.8222903885480572
white,0,30,0.8259713701431493
white,3,-3,0.589161554192229
white,3,0,0.7216768916155419
white,3,3,0.7674846625766871
white,3,6,0.7969325153374233
white,3,9,0.8233128834355828
white,3,12,0.8253578732106339
white,3,15,0.8282208588957055
white,3,18,0.8325153374233129
white,3,21,0.8423312883435583
white,3,24,0.8388548057259714
white,3,27,0.8429447852760736
white,3,30,0.8439672801635992
white,6,-3,0.365439672801636
white,6,0,0.6936605316973415
white,6,3,0.7660531697341514
white,6,6,0.8319018404907975
white,6,9,0.8529652351738242
white,6,12,0.8580777096114519
white,6,15,0.865439672801636
white,6,18,0.8701431492842536
white,6,21,0.8740286298568507
white,6,24,0.8742331288343558
white,6,27,0.8770961145194274
white,6,30,0.8770961145194274
white,9,-3,0.3537832310838446
white,9,0,0.6423312883435582
white,9,3,0.7319018404907975
white,9,6,0.8263803680981595
white,9,9,0.8586912065439672
white,9,12,0.8711656441717791
white,9,15,0.8807770961145194
white,9,18,0.8834355828220859
white,9,21,0.8838445807770962
white,9,24,0.8885480572597138
white,9,27,0.8889570552147239
white,9,30,0.8910020449897751
white,12,-3,0.29611451942740286
white,12,0,0.5265848670756647
white,12,3,0.730879345603272
white,12,6,0.8220858895705522
white,12,9,0.8619631901840491
white,12,12,0.8822085889570552
white,12,15,0.8895705521472392
white,12,18,0.8989775051124744
white,12,21,0.903680981595092
white,12,24,0.9081799591002045
white,12,27,0.9085889570552147
white,12,30,0.908997955010225
white,15,-3,0.21574642126789367
white,15,0,0.3740286298568507
white,15,3,0.5241308793456033
white,15,6,0.7773006134969325
white,15,9,0.8615541922290388
white,15,12,0.8950920245398774
white,15,15,0.9024539877300614
white,15,18,0.9122699386503067
white,15,21,0.9173824130879346
white,15,24,0.9200408997955011
white,15,27,0.9229038854805726
white,15,30,0.9269938650306748
white,18,-3,0.1488752556237219
white,18,0,0.2560327198364008
white,18,3,0.5122699386503068
white,18,6,0.7149284253578733
white,18,9,0.830879345603272
white,18,12,0.8893660531697342
white,18,15,0.9098159509202454
white,18,18,0.9235173824130879
white,18,21,0.9261758691206544
white,18,24,0.9296523517382413
white,18,27,0.9316973415132924
white,18,30,0.9353783231083844
white,21,-3,0.11063394683026585
white,21,0,0.16319018404907976
white,21,3,0.36973415132924337
white,21,6,0.627402862985685
white,21,9,0.7889570552147239
white,21,12,0.8820040899795502
white,21,15,0.9087934560327199
white,21,18,0.9210633946830266
white,21,21,0.9310838445807771
white,21,24,0.9388548057259714
white,21,27,0.9408997955010225
white,21,30,0.943558282208589
white,24,-3,0.09918200408997956
white,24,0,0.17157464212678936
white,24,3,0.36830265848670757
white,24,6,0.587321063394683
white,24,9,0.6593047034764826
white,24,12,0.8807770961145194
white,24,15,0.9
white,24,18,0.9243353783231084
white,24,21,0.9329243353783231
white,24,24,0.9396728016359919
white,24,27,0.945398773006135
white,24,30,0.9458077709611452
white,27,-3,0.09161554192229039
white,27,0,0.1656441717791411
white,27,3,0.27648261758691206
white,27,6,0.5237218813905931
white,27,9,0.6294478527607362
white,27,12,0.8251533742331288
white,27,15,0.8985685071574642
white,27,18,0.9231083844580777
white,27,21,0.9347648261758691
white,27,24,0.941717791411043
white,27,27,0.9460122699386503
white,27,30,0.9498977505112475
white,30,-3,0.10408997955010225
white,30,0,0.14826175869120656
white,30,3,0.2809815950920245
white,30,6,0.6402862985685072
white,30,9,0.7625766871165645
white,30,12,0.8441717791411043
white,30,15,0.9020449897750511
white,30,18,0.9202453987730062
white,30,21,0.9323108384458078
white,30,24,0.9392638036809816
white,30,27,0.9441717791411043
white,30,30,0.9478527607361963
pink,-3,-3,0.5378323108384458
pink,-3,0,0.6278118609406953
pink,-3,3,0.6824130879345603
pink,-3,6,0.7263803680981595
pink,-3,9,0.7550102249488753
pink,-3,12,0.7709611451942741
pink,-3,15,0.7754601226993865
pink,-3,18,0.7809815950920246
pink,-3,21,0.7965235173824131
pink,-3,24,0.8028629856850715
pink,-3,27,0.8077709611451943
pink,-3,30,0.8077709611451943
pink,0,-3,0.5286298568507157
pink,0,0,0.6625766871165644
pink,0,3,0.681799591002045
pink,0,6,0.7425357873210634
pink,0,9,0.7627811860940695
pink,0,12,0.7881390593047035
pink,0,15,0.7985685071574642
pink,0,18,0.8044989775051125
pink,0,21,0.8155419222903886
pink,0,24,0.8194274028629857
pink,0,27,0.8229038854805726
pink,0,30,0.8280163599182004
pink,3,-3,0.35030674846625764
pink,3,0,0.6226993865030674
pink,3,3,0.7382413087934561
pink,3,6,0.7791411042944786
pink,3,9,0.8120654396728016
pink,3,12,0.8306748466257668
pink,3,15,0.8378323108384458
pink,3,18,0.8501022494887526
pink,3,21,0.8554192229038855
pink,3,24,0.8615541922290388
pink,3,27,0.8631901840490798
pink,3,30,0.8644171779141104
pink,6,-3,0.31758691206543965
pink,6,0,0.5867075664621677
pink,6,3,0.7437627811860941
pink,6,6,0.8026584867075665
pink,6,9,0.8222903885480572
pink,6,12,0.8392638036809816
pink,6,15,0.849284253578732
pink,6,18,0.8580777096114519
pink,6,21,0.8674846625766871
pink,6,24,0.867280163599182
pink,6,27,0.8713701431492843
pink,6,30,0.8732106339468303
pink,9,-3,0.18261758691206545
pink,9,0,0.4306748466257669
pink,9,3,0.7022494887525562
pink,9,6,0.8016359918200409
pink,9,9,0.8429447852760736
pink,9,12,0.8638036809815951
pink,9,15,0.8721881390593047
pink,9,18,0.8815950920245399
pink,9,21,0.8883435582822086
pink,9,24,0.8940695296523518
pink,9,27,0.8955010224948875
pink,9,30,0.8995910020449898
pink,12,-3,0.15460122699386503
pink,12,0,0.41840490797546015
pink,12,3,0.5588957055214724
pink,12,6,0.7775051124744377
pink,12,9,0.8458077709611452
pink,12,12,0.876278118609407
pink,12,15,0.8858895705521472
pink,12,18,0.8950920245398774
pink,12,21,0.8946830265848671
pink,12,24,0.9042944785276074
pink,12,27,0.9063394683026584
pink,12,30,0.9077709611451943
pink,15,-3,0.13149284253578733
pink,15,0,0.2991820040899795
pink,15,3,0.42678936605316975
pink,15,6,0.6989775051124745
pink,15,9,0.843558282208589
pink,15,12,0.878323108384458
pink,15,15,0.8979550102249488
pink,15,18,0.9065439672801636
pink,15,21,0.9132924335378323
pink,15,24,0.9190184049079755
pink,15,27,0.9220858895705522
pink,15,30,0.9274028629856851
pink,18,-3,0.11022494887525562
pink,18,0,0.16114519427402862
pink,18,3,0.37137014314928424
pink,18,6,0.6388548057259714
pink,18,9,0.8049079754601227
pink,18,12,0.8734151329243354
pink,18,15,0.905316973415133
pink,18,18,0.9171779141104295
pink,18,21,0.9233128834355828
pink,18,24,0.9294478527607362
pink,18,27,0.9337423312883436
pink,18,30,0.9347648261758691
pink,21,-3,0.08588957055214724
pink,21,0,0.15807770961145196
