noise_type,snr_train,snr_test,accuracy
white,-3,-3,0.5803680981595092
white,-3,0,0.650920245398773
white,-3,3,0.6922290388548057
white,-3,6,0.7149284253578733
white,-3,9,0.7214723926380369
white,-3,12,0.7388548057259714
white,-3,15,0.7445807770961145
white,-3,18,0.7558282208588957
white,-3,21,0.7652351738241309
white,-3,24,0.7676891615541922
white,-3,27,0.7728016359918201
white,-3,30,0.7803680981595092
white,0,-3,0.6137014314928425
white,0,0,0.6985685071574642
white,0,3,0.7247443762781186
white,0,6,0.7335378323108385
white,0,9,0.7484662576687117
white,0,12,0.7591002044989775
white,0,15,0.7678936605316974
white,0,18,0.7732106339468303
white,0,21,0.7828220858895706
white,0,24,0.7846625766871166
white,0,27,0.7924335378323109
white,0,30,0.7914110429447853
white,3,-3,0.48568507157464214
white,3,0,0.6319018404907976
white,3,3,0.7421267893660531
white,3,6,0.7764826175869121
white,3,9,0.7860940695296523
white,3,12,0.8002044989775051
white,3,15,0.8100204498977505
white,3,18,0.8155419222903886
white,3,21,0.8208588957055215
white,3,24,0.8231083844580777
white,3,27,0.8292433537832311
white,3,30,0.8292433537832311
white,6,-3,0.37566462167689163
white,6,0,0.661963190184049
white,6,3,0.7717791411042945
white,6,6,0.8008179959100205
white,6,9,0.8224948875255623
white,6,12,0.8300613496932515
white,6,15,0.8323108384458078
white,6,18,0.841717791411043
white,6,21,0.8441717791411043
white,6,24,0.849079754601227
white,6,27,0.8486707566462167
white,6,30,0.8503067484662576
white,9,-3,0.3014314928425358
white,9,0,0.49141104294478527
white,9,3,0.6703476482617587
white,9,6,0.7795501022494887
white,9,9,0.8259713701431493
white,9,12,0.841717791411043
white,9,15,0.8552147239263803
white,9,18,0.8543967280163599
white,9,21,0.8615541922290388
white,9,24,0.8591002044989775
white,9,27,0.8625766871165644
white,9,30,0.8613496932515338
white,12,-3,0.19591002044989775
white,12,0,0.3928425357873211
white,12,3,0.6656441717791411
white,12,6,0.7822085889570553
white,12,9,0.8415132924335378
white,12,12,0.8693251533742331
white,12,15,0.8815950920245399
white,12,18,0.8869120654396728
white,12,21,0.8926380368098159
white,12,24,0.8928425357873211
white,12,27,0.8934560327198364
white,12,30,0.8961145194274028
white,15,-3,0.19100204498977505
white,15,0,0.3216768916155419
white,15,3,0.5611451942740286
white,15,6,0.7605316973415133
white,15,9,0.8548057259713702
white,15,12,0.87280163599182
white,15,15,0.8830265848670756
