noise_type,snr,accuracyFullPrecision,accuracyBinaryWeight,accuracyFullBinary
white,30,0.9539877300613497,0.9386503067484663,0.9106339468302659
pink,30,0.9556237218813906,0.939877300613497,0.9094069529652352
babble,30,0.9603271983640081,0.950920245398773,0.9204498977505112
air_conditioner_background,30,0.9591002044989775,0.949079754601227,0.9263803680981595
car_horn_background,30,0.9554192229038855,0.9447852760736196,0.9040899795501023
children_playing_background,30,0.9603271983640081,0.9449897750511247,0.912883435582822
dog_bark_background,30,0.9529652351738241,0.9370143149284254,0.9047034764826176
drilling_background,30,0.9588957055214724,0.941922290388548,0.9196319018404908
engine_idling_background,30,0.9554192229038855,0.9462167689161555,0.9118609406952966
gun_shot_background,30,0.9609406952965235,0.950920245398773,0.9212678936605317
jackhammer_background,30,0.9527607361963191,0.938241308793456,0.9028629856850716
siren_background,30,0.9554192229038855,0.9425357873210634,0.9114519427402863
street_music_background,30,0.9627811860940695,0.950920245398773,0.9257668711656442
air_conditioner_foreground,30,0.9615541922290388,0.9525562372188139,0.9233128834355828
car_horn_foreground,30,0.9566462167689161,0.9480572597137015,0.9210633946830266
children_playing_foreground,30,0.9593047034764827,0.9441717791411043,0.9155419222903886
dog_bark_foreground,30,0.9621676891615542,0.9415132924335379,0.9241308793456032
drilling_foreground,30,0.9558282208588957,0.9443762781186094,0.9149284253578732
engine_idling_foreground,30,0.9625766871165644,0.9503067484662576,0.9269938650306748
gun_shot_foreground,30,0.9588957055214724,0.9496932515337423,0.9231083844580777
jackhammer_foreground,30,0.9511247443762781,0.9402862985685072,0.9098159509202454
siren_foreground,30,0.9521472392638037,0.9415132924335379,0.9118609406952966
street_music_foreground,30,0.9537832310838446,0.9423312883435583,0.912678936605317
white,27,0.9523517382413088,0.9361963190184049,0.9014314928425358
pink,27,0.9531697341513292,0.9376278118609407,0.9010224948875256
babble,27,0.959918200408998,0.949079754601227,0.9196319018404908
air_conditioner_background,27,0.9582822085889571,0.9466257668711656,0.9210633946830266
car_horn_background,27,0.9531697341513292,0.9392638036809816,0.8932515337423312
children_playing_background,27,0.9568507157464212,0.941922290388548,0.908997955010225
dog_bark_background,27,0.9443762781186094,0.9274028629856851,0.8991820040899795
drilling_background,27,0.9546012269938651,0.9351738241308793,0.9075664621676892
engine_idling_background,27,0.9521472392638037,0.9429447852760736,0.9083844580777096
gun_shot_background,27,0.9584867075664621,0.9494887525562372,0.918200408997955
