model,noise_type,snr_train,snr_test,accuracy
baseline,car_horn_background,-3,-3,0.7513292433537833
noise-aware,car_horn_background,-3,-3,0.7907975460122699
baseline,car_horn_background,-3,0,0.776278118609407
noise-aware,car_horn_background,-3,0,0.8175869120654397
baseline,car_horn_background,-3,3,0.7928425357873211
noise-aware,car_horn_background,-3,3,0.8388548057259714
baseline,car_horn_background,-3,6,0.8096114519427403
noise-aware,car_horn_background,-3,6,0.8529652351738242
baseline,car_horn_background,-3,9,0.8214723926380368
noise-aware,car_horn_background,-3,9,0.8584867075664622
baseline,car_horn_background,-3,12,0.8396728016359918
noise-aware,car_horn_background,-3,12,0.8619631901840491
baseline,car_horn_background,-3,15,0.8480572597137014
noise-aware,car_horn_background,-3,15,0.867280163599182
baseline,car_horn_background,-3,18,0.8574642126789366
noise-aware,car_horn_background,-3,18,0.8713701431492843
baseline,car_horn_background,-3,21,0.8656441717791411
noise-aware,car_horn_background,-3,21,0.8742331288343558
baseline,car_horn_background,-3,24,0.8715746421267894
noise-aware,car_horn_background,-3,24,0.8748466257668711
baseline,car_horn_background,-3,27,0.8752556237218814
noise-aware,car_horn_background,-3,27,0.8756646216768916
baseline,car_horn_background,-3,30,0.8760736196319019
noise-aware,car_horn_background,-3,30,0.8775051124744376
baseline,car_horn_background,0,-3,0.7687116564417178
noise-aware,car_horn_background,0,-3,0.8106339468302658
baseline,car_horn_background,0,0,0.808997955010225
noise-aware,car_horn_background,0,0,0.8443762781186094
baseline,car_horn_background,0,3,0.832719836400818
noise-aware,car_horn_background,0,3,0.8650306748466258
baseline,car_horn_background,0,6,0.8468302658486707
noise-aware,car_horn_background,0,6,0.8795501022494887
baseline,car_horn_background,0,9,0.8619631901840491
noise-aware,car_horn_background,0,9,0.8858895705521472
baseline,car_horn_background,0,12,0.8678936605316974
noise-aware,car_horn_background,0,12,0.8910020449897751
baseline,car_horn_background,0,15,0.8793456032719836
noise-aware,car_horn_background,0,15,0.8955010224948875
baseline,car_horn_background,0,18,0.8865030674846626
noise-aware,car_horn_background,0,18,0.898159509202454
baseline,car_horn_background,0,21,0.8946830265848671
noise-aware,car_horn_background,0,21,0.9020449897750511
baseline,car_horn_background,0,24,0.9002044989775051
noise-aware,car_horn_background,0,24,0.905316973415133
baseline,car_horn_background,0,27,0.9044989775051124
noise-aware,car_horn_background,0,27,0.907361963190184
baseline,car_horn_background,0,30,0.9075664621676892
noise-aware,car_horn_background,0,30,0.9083844580777096
baseline,car_horn_background,3,-3,0.7642126789366053
noise-aware,car_horn_background,3,-3,0.8204498977505112
baseline,car_horn_background,3,0,0.8188139059304703
noise-aware,car_horn_background,3,0,0.8537832310838446
baseline,car_horn_background,3,3,0.850920245398773
noise-aware,car_horn_background,3,3,0.8789366053169734
baseline,car_horn_background,3,6,0.8699386503067484
noise-aware,car_horn_background,3,6,0.8920245398773006
baseline,car_horn_background,3,9,0.8820040899795502
noise-aware,car_horn_background,3,9,0.9006134969325154
baseline,car_horn_background,3,12,0.8912065439672802
noise-aware,car_horn_background,3,12,0.9042944785276074
baseline,car_horn_background,3,15,0.8983640081799591
noise-aware,car_horn_background,3,15,0.9081799591002045
baseline,car_horn_background,3,18,0.9049079754601227
noise-aware,car_horn_background,3,18,0.9130879345603272
baseline,car_horn_background,3,21,0.9122699386503067
noise-aware,car_horn_background,3,21,0.9153374233128835
baseline,car_horn_background,3,24,0.916359918200409
noise-aware,car_horn_background,3,24,0.9194274028629856
baseline,car_horn_background,3,27,0.9190184049079755
noise-aware,car_horn_background,3,27,0.9192229038854806
baseline,car_horn_background,3,30,0.9204498977505112
noise-aware,car_horn_background,3,30,0.9206543967280164
baseline,car_horn_background,6,-3,0.7525562372188139
noise-aware,car_horn_background,6,-3,0.8243353783231084
baseline,car_horn_background,6,0,0.8190184049079755
noise-aware,car_horn_background,6,0,0.8615541922290388
baseline,car_horn_background,6,3,0.8609406952965235
noise-aware,car_horn_background,6,3,0.8846625766871166
baseline,car_horn_background,6,6,0.883640081799591
noise-aware,car_horn_background,6,6,0.8985685071574642
baseline,car_horn_background,6,9,0.8952965235173824
noise-aware,car_horn_background,6,9,0.9063394683026584
baseline,car_horn_background,6,12,0.9069529652351738
noise-aware,car_horn_background,6,12,0.9112474437627812
baseline,car_horn_background,6,15,0.9139059304703476
noise-aware,car_horn_background,6,15,0.9186094069529652
baseline,car_horn_background,6,18,0.9184049079754601
noise-aware,car_horn_background,6,18,0.9208588957055215
baseline,car_horn_background,6,21,0.9243353783231084
noise-aware,car_horn_background,6,21,0.9237218813905931
baseline,car_horn_background,6,24,0.9247443762781186
noise-aware,car_horn_background,6,24,0.9253578732106339
baseline,car_horn_background,6,27,0.9278118609406953
noise-aware,car_horn_background,6,27,0.9274028629856851
baseline,car_horn_background,6,30,0.9298568507157464
noise-aware,car_horn_background,6,30,0.929038854805726
baseline,car_horn_background,9,-3,0.7094069529652351
noise-aware,car_horn_background,9,-3,0.8263803680981595
baseline,car_horn_background,9,0,0.7993865030674847
noise-aware,car_horn_background,9,0,0.8676891615541922
baseline,car_horn_background,9,3,0.8480572597137014
noise-aware,car_horn_background,9,3,0.8918200408997955
baseline,car_horn_background,9,6,0.8822085889570552
noise-aware,car_horn_background,9,6,0.9067484662576687
baseline,car_horn_background,9,9,0.9022494887525563
noise-aware,car_horn_background,9,9,0.9196319018404908
baseline,car_horn_background,9,12,0.9116564417177914
noise-aware,car_horn_background,9,12,0.9261758691206544
baseline,car_horn_background,9,15,0.9202453987730062
noise-aware,car_horn_background,9,15,0.9298568507157464
baseline,car_horn_background,9,18,0.9237218813905931
noise-aware,car_horn_background,9,18,0.9325153374233128
baseline,car_horn_background,9,21,0.9274028629856851
noise-aware,car_horn_background,9,21,0.9368098159509203
baseline,car_horn_background,9,24,0.9319018404907975
noise-aware,car_horn_background,9,24,0.9378323108384458
baseline,car_horn_background,9,27,0.9331288343558283
noise-aware,car_horn_background,9,27,0.9384458077709611
baseline,car_horn_background,9,30,0.9368098159509203
noise-aware,car_horn_background,9,30,0.9392638036809816
baseline,car_horn_background,12,-3,0.6905930470347649
noise-aware,car_horn_background,12,-3,0.8171779141104294
baseline,car_horn_background,12,0,0.7895705521472393
noise-aware,car_horn_background,12,0,0.8652351738241308
baseline,car_horn_background,12,3,0.8488752556237219
noise-aware,car_horn_background,12,3,0.8903885480572598
baseline,car_horn_background,12,6,0.8842535787321063
noise-aware,car_horn_background,12,6,0.9083844580777096
baseline,car_horn_background,12,9,0.9079754601226994
noise-aware,car_horn_background,12,9,0.9202453987730062
baseline,car_horn_background,12,12,0.9204498977505112
noise-aware,car_horn_background,12,12,0.9286298568507158
baseline,car_horn_background,12,15,0.92719836400818
noise-aware,car_horn_background,12,15,0.9323108384458078
baseline,car_horn_background,12,18,0.9331288343558283
noise-aware,car_horn_background,12,18,0.93640081799591
baseline,car_horn_background,12,21,0.9355828220858896
noise-aware,car_horn_background,12,21,0.9390593047034764
baseline,car_horn_background,12,24,0.9396728016359919
noise-aware,car_horn_background,12,24,0.941717791411043
baseline,car_horn_background,12,27,0.9421267893660532
noise-aware,car_horn_background,12,27,0.941717791411043
baseline,car_horn_background,12,30,0.9445807770961145
noise-aware,car_horn_background,12,30,0.943558282208589
baseline,car_horn_background,15,-3,0.6625766871165644
noise-aware,car_horn_background,15,-3,0.8067484662576687
baseline,car_horn_background,15,0,0.7719836400817995
noise-aware,car_horn_background,15,0,0.8558282208588958
baseline,car_horn_background,15,3,0.8394683026584867
noise-aware,car_horn_background,15,3,0.8852760736196319
baseline,car_horn_background,15,6,0.8820040899795502
noise-aware,car_horn_background,15,6,0.905521472392638
baseline,car_horn_background,15,9,0.9077709611451943
noise-aware,car_horn_background,15,9,0.9188139059304703
baseline,car_horn_background,15,12,0.9222903885480572
noise-aware,car_horn_background,15,12,0.929038854805726
baseline,car_horn_background,15,15,0.9325153374233128
noise-aware,car_horn_background,15,15,0.9359918200408998
baseline,car_horn_background,15,18,0.938241308793456
noise-aware,car_horn_background,15,18,0.9406952965235174
baseline,car_horn_background,15,21,0.9408997955010225
noise-aware,car_horn_background,15,21,0.941922290388548
baseline,car_horn_background,15,24,0.9443762781186094
noise-aware,car_horn_background,15,24,0.9456032719836401
baseline,car_horn_background,15,27,0.9456032719836401
noise-aware,car_horn_background,15,27,0.9456032719836401
baseline,car_horn_background,15,30,0.947239263803681
noise-aware,car_horn_background,15,30,0.9480572597137015
baseline,car_horn_background,18,-3,0.6415132924335378
noise-aware,car_horn_background,18,-3,0.774437627811861
baseline,car_horn_background,18,0,0.7496932515337423
noise-aware,car_horn_background,18,0,0.8294478527607362
baseline,car_horn_background,18,3,0.8280163599182004
noise-aware,car_horn_background,18,3,0.8680981595092024
baseline,car_horn_background,18,6,0.8758691206543967
noise-aware,car_horn_background,18,6,0.8930470347648262
baseline,car_horn_background,18,9,0.903476482617587
noise-aware,car_horn_background,18,9,0.9134969325153375
baseline,car_horn_background,18,12,0.9214723926380368
noise-aware,car_horn_background,18,12,0.9239263803680982
baseline,car_horn_background,18,15,0.9321063394683027
noise-aware,car_horn_background,18,15,0.9349693251533743
baseline,car_horn_background,18,18,0.9394683026584867
noise-aware,car_horn_background,18,18,0.940081799591002
baseline,car_horn_background,18,21,0.9445807770961145
noise-aware,car_horn_background,18,21,0.9429447852760736
baseline,car_horn_background,18,24,0.9460122699386503
noise-aware,car_horn_background,18,24,0.9456032719836401
baseline,car_horn_background,18,27,0.950920245398773
noise-aware,car_horn_background,18,27,0.949079754601227
baseline,car_horn_background,18,30,0.9513292433537832
noise-aware,car_horn_background,18,30,0.949079754601227
baseline,car_horn_background,21,-3,0.6106339468302658
noise-aware,car_horn_background,21,-3,0.7732106339468303
baseline,car_horn_background,21,0,0.7220858895705522
noise-aware,car_horn_background,21,0,0.8247443762781186
baseline,car_horn_background,21,3,0.805316973415133
noise-aware,car_horn_background,21,3,0.8638036809815951
baseline,car_horn_background,21,6,0.8617586912065439
noise-aware,car_horn_background,21,6,0.8912065439672802
baseline,car_horn_background,21,9,0.8938650306748466
noise-aware,car_horn_background,21,9,0.907157464212679
baseline,car_horn_background,21,12,0.9167689161554192
noise-aware,car_horn_background,21,12,0.9216768916155419
baseline,car_horn_background,21,15,0.9306748466257668
noise-aware,car_horn_background,21,15,0.9335378323108384
baseline,car_horn_background,21,18,0.9376278118609407
noise-aware,car_horn_background,21,18,0.9392638036809816
baseline,car_horn_background,21,21,0.9433537832310839
noise-aware,car_horn_background,21,21,0.9445807770961145
baseline,car_horn_background,21,24,0.9492842535787321
noise-aware,car_horn_background,21,24,0.9486707566462168
baseline,car_horn_background,21,27,0.9505112474437628
noise-aware,car_horn_background,21,27,0.9496932515337423
baseline,car_horn_background,21,30,0.9533742331288344
noise-aware,car_horn_background,21,30,0.9507157464212679
baseline,car_horn_background,24,-3,0.5914110429447853
noise-aware,car_horn_background,24,-3,0.7754601226993865
baseline,car_horn_background,24,0,0.7038854805725971
noise-aware,car_horn_background,24,0,0.8267893660531698
baseline,car_horn_background,24,3,0.7887525562372188
noise-aware,car_horn_background,24,3,0.8625766871165644
baseline,car_horn_background,24,6,0.8476482617586912
noise-aware,car_horn_background,24,6,0.8881390593047035
baseline,car_horn_background,24,9,0.887321063394683
noise-aware,car_horn_background,24,9,0.903476482617587
baseline,car_horn_background,24,12,0.9112474437627812
noise-aware,car_horn_background,24,12,0.9208588957055215
baseline,car_horn_background,24,15,0.9261758691206544
noise-aware,car_horn_background,24,15,0.932719836400818
baseline,car_horn_background,24,18,0.9366053169734151
noise-aware,car_horn_background,24,18,0.9394683026584867
baseline,car_horn_background,24,21,0.9411042944785276
noise-aware,car_horn_background,24,21,0.9441717791411043
baseline,car_horn_background,24,24,0.9462167689161555
noise-aware,car_horn_background,24,24,0.9478527607361963
baseline,car_horn_background,24,27,0.949079754601227
noise-aware,car_horn_background,24,27,0.9501022494887525
baseline,car_horn_background,24,30,0.9535787321063395
noise-aware,car_horn_background,24,30,0.9521472392638037
baseline,car_horn_background,27,-3,0.5713701431492842
noise-aware,car_horn_background,27,-3,0.7674846625766871
baseline,car_horn_background,27,0,0.6773006134969325
noise-aware,car_horn_background,27,0,0.8233128834355828
baseline,car_horn_background,27,3,0.7640081799591002
noise-aware,car_horn_background,27,3,0.8584867075664622
baseline,car_horn_background,27,6,0.8312883435582822
noise-aware,car_horn_background,27,6,0.8871165644171779
baseline,car_horn_background,27,9,0.8775051124744376
noise-aware,car_horn_background,27,9,0.9042944785276074
baseline,car_horn_background,27,12,0.9028629856850716
noise-aware,car_horn_background,27,12,0.9206543967280164
baseline,car_horn_background,27,15,0.9226993865030675
noise-aware,car_horn_background,27,15,0.9312883435582822
baseline,car_horn_background,27,18,0.9339468302658487
noise-aware,car_horn_background,27,18,0.9384458077709611
baseline,car_horn_background,27,21,0.941922290388548
noise-aware,car_horn_background,27,21,0.9429447852760736
baseline,car_horn_background,27,24,0.9460122699386503
noise-aware,car_horn_background,27,24,0.9464212678936605
baseline,car_horn_background,27,27,0.9503067484662576
noise-aware,car_horn_background,27,27,0.9498977505112475
baseline,car_horn_background,27,30,0.9529652351738241
noise-aware,car_horn_background,27,30,0.9517382413087935
baseline,car_horn_background,30,-3,0.5701431492842536
noise-aware,car_horn_background,30,-3,0.7709611451942741
baseline,car_horn_background,30,0,0.6762781186094069
noise-aware,car_horn_background,30,0,0.8253578732106339
baseline,car_horn_background,30,3,0.756441717791411
noise-aware,car_horn_background,30,3,0.8578732106339468
baseline,car_horn_background,30,6,0.8255623721881391
noise-aware,car_horn_background,30,6,0.8871165644171779
baseline,car_horn_background,30,9,0.8734151329243354
noise-aware,car_horn_background,30,9,0.9024539877300614
baseline,car_horn_background,30,12,0.9028629856850716
noise-aware,car_horn_background,30,12,0.9177914110429448
baseline,car_horn_background,30,15,0.9206543967280164
noise-aware,car_horn_background,30,15,0.930879345603272
baseline,car_horn_background,30,18,0.9347648261758691
noise-aware,car_horn_background,30,18,0.938241308793456
baseline,car_horn_background,30,21,0.9421267893660532
noise-aware,car_horn_background,30,21,0.9425357873210634
baseline,car_horn_background,30,24,0.9482617586912065
noise-aware,car_horn_background,30,24,0.9466257668711656
baseline,car_horn_background,30,27,0.9513292433537832
noise-aware,car_horn_background,30,27,0.9486707566462168
baseline,car_horn_background,30,30,0.9548057259713701
noise-aware,car_horn_background,30,30,0.9513292433537832
baseline,dog_bark_foreground,-3,-3,0.880163599182004
noise-aware,dog_bark_foreground,-3,-3,0.8449897750511247
baseline,dog_bark_foreground,-3,0,0.8973415132924335
noise-aware,dog_bark_foreground,-3,0,0.8685071574642127
baseline,dog_bark_foreground,-3,3,0.9096114519427403
noise-aware,dog_bark_foreground,-3,3,0.8914110429447852
baseline,dog_bark_foreground,-3,6,0.9204498977505112
noise-aware,dog_bark_foreground,-3,6,0.9059304703476483
baseline,dog_bark_foreground,-3,9,0.9261758691206544
noise-aware,dog_bark_foreground,-3,9,0.9212678936605317
baseline,dog_bark_foreground,-3,12,0.9347648261758691
noise-aware,dog_bark_foreground,-3,12,0.9323108384458078
baseline,dog_bark_foreground,-3,15,0.9374233128834356
noise-aware,dog_bark_foreground,-3,15,0.9411042944785276
baseline,dog_bark_foreground,-3,18,0.9404907975460123
noise-aware,dog_bark_foreground,-3,18,0.9458077709611452
baseline,dog_bark_foreground,-3,21,0.9427402862985685
noise-aware,dog_bark_foreground,-3,21,0.9482617586912065
baseline,dog_bark_foreground,-3,24,0.9460122699386503
noise-aware,dog_bark_foreground,-3,24,0.9494887525562372
baseline,dog_bark_foreground,-3,27,0.9486707566462168
noise-aware,dog_bark_foreground,-3,27,0.950920245398773
baseline,dog_bark_foreground,-3,30,0.9492842535787321
noise-aware,dog_bark_foreground,-3,30,0.9548057259713701
baseline,dog_bark_foreground,0,-3,0.8734151329243354
noise-aware,dog_bark_foreground,0,-3,0.843762781186094
baseline,dog_bark_foreground,0,0,0.8950920245398774
noise-aware,dog_bark_foreground,0,0,0.8660531697341514
baseline,dog_bark_foreground,0,3,0.9118609406952966
noise-aware,dog_bark_foreground,0,3,0.8897750511247444
baseline,dog_bark_foreground,0,6,0.9212678936605317
noise-aware,dog_bark_foreground,0,6,0.907361963190184
baseline,dog_bark_foreground,0,9,0.9304703476482618
noise-aware,dog_bark_foreground,0,9,0.9226993865030675
baseline,dog_bark_foreground,0,12,0.9361963190184049
noise-aware,dog_bark_foreground,0,12,0.9339468302658487
baseline,dog_bark_foreground,0,15,0.9384458077709611
noise-aware,dog_bark_foreground,0,15,0.9415132924335379
baseline,dog_bark_foreground,0,18,0.9411042944785276
noise-aware,dog_bark_foreground,0,18,0.9468302658486708
baseline,dog_bark_foreground,0,21,0.945398773006135
noise-aware,dog_bark_foreground,0,21,0.9505112474437628
baseline,dog_bark_foreground,0,24,0.9488752556237219
noise-aware,dog_bark_foreground,0,24,0.9523517382413088
baseline,dog_bark_foreground,0,27,0.9507157464212679
noise-aware,dog_bark_foreground,0,27,0.9519427402862985
baseline,dog_bark_foreground,0,30,0.9519427402862985
noise-aware,dog_bark_foreground,0,30,0.9550102249488752
baseline,dog_bark_foreground,3,-3,0.870961145194274
noise-aware,dog_bark_foreground,3,-3,0.8421267893660531
baseline,dog_bark_foreground,3,0,0.8934560327198364
noise-aware,dog_bark_foreground,3,0,0.8664621676891615
baseline,dog_bark_foreground,3,3,0.9106339468302659
noise-aware,dog_bark_foreground,3,3,0.8860940695296523
baseline,dog_bark_foreground,3,6,0.9233128834355828
noise-aware,dog_bark_foreground,3,6,0.9059304703476483
baseline,dog_bark_foreground,3,9,0.929038854805726
noise-aware,dog_bark_foreground,3,9,0.9220858895705522
baseline,dog_bark_foreground,3,12,0.9349693251533743
noise-aware,dog_bark_foreground,3,12,0.9331288343558283
baseline,dog_bark_foreground,3,15,0.938241308793456
noise-aware,dog_bark_foreground,3,15,0.9423312883435583
baseline,dog_bark_foreground,3,18,0.941717791411043
noise-aware,dog_bark_foreground,3,18,0.949079754601227
baseline,dog_bark_foreground,3,21,0.9447852760736196
noise-aware,dog_bark_foreground,3,21,0.9519427402862985
baseline,dog_bark_foreground,3,24,0.9492842535787321
noise-aware,dog_bark_foreground,3,24,0.9529652351738241
baseline,dog_bark_foreground,3,27,0.9501022494887525
noise-aware,dog_bark_foreground,3,27,0.9535787321063395
baseline,dog_bark_foreground,3,30,0.9521472392638037
noise-aware,dog_bark_foreground,3,30,0.9548057259713701
baseline,dog_bark_foreground,6,-3,0.8638036809815951
noise-aware,dog_bark_foreground,6,-3,0.8404907975460123
baseline,dog_bark_foreground,6,0,0.8881390593047035
noise-aware,dog_bark_foreground,6,0,0.8650306748466258
baseline,dog_bark_foreground,6,3,0.9098159509202454
noise-aware,dog_bark_foreground,6,3,0.8844580777096115
baseline,dog_bark_foreground,6,6,0.9186094069529652
noise-aware,dog_bark_foreground,6,6,0.9051124744376278
baseline,dog_bark_foreground,6,9,0.9274028629856851
noise-aware,dog_bark_foreground,6,9,0.9226993865030675
baseline,dog_bark_foreground,6,12,0.9335378323108384
noise-aware,dog_bark_foreground,6,12,0.9347648261758691
baseline,dog_bark_foreground,6,15,0.938036809815951
noise-aware,dog_bark_foreground,6,15,0.9431492842535787
baseline,dog_bark_foreground,6,18,0.941717791411043
noise-aware,dog_bark_foreground,6,18,0.9492842535787321
baseline,dog_bark_foreground,6,21,0.9447852760736196
noise-aware,dog_bark_foreground,6,21,0.9507157464212679
baseline,dog_bark_foreground,6,24,0.9482617586912065
noise-aware,dog_bark_foreground,6,24,0.9525562372188139
baseline,dog_bark_foreground,6,27,0.9496932515337423
noise-aware,dog_bark_foreground,6,27,0.9529652351738241
baseline,dog_bark_foreground,6,30,0.9517382413087935
