noise_type,snr_train,snr_test,accuracy,model
car_horn_background,-3,-3,0.661758691206544,baseline
car_horn_background,-3,0,0.7196319018404908,baseline
car_horn_background,-3,3,0.7631901840490798,baseline
car_horn_background,-3,6,0.7946830265848671,baseline
car_horn_background,-3,9,0.8206543967280163,baseline
car_horn_background,-3,12,0.8443762781186094,baseline
car_horn_background,-3,15,0.8570552147239264,baseline
car_horn_background,-3,18,0.8730061349693251,baseline
car_horn_background,-3,21,0.8768916155419223,baseline
car_horn_background,-3,24,0.8805725971370143,baseline
car_horn_background,-3,27,0.8846625766871166,baseline
car_horn_background,-3,30,0.8867075664621676,baseline
car_horn_background,0,-3,0.6521472392638037,baseline
car_horn_background,0,0,0.7224948875255623,baseline
car_horn_background,0,3,0.7750511247443763,baseline
car_horn_background,0,6,0.8114519427402863,baseline
car_horn_background,0,9,0.8415132924335378,baseline
car_horn_background,0,12,0.8595092024539878,baseline
car_horn_background,0,15,0.8758691206543967,baseline
car_horn_background,0,18,0.8879345603271984,baseline
car_horn_background,0,21,0.8950920245398774,baseline
car_horn_background,0,24,0.898159509202454,baseline
car_horn_background,0,27,0.9010224948875256,baseline
car_horn_background,0,30,0.9047034764826176,baseline
car_horn_background,3,-3,0.6321063394683026,baseline
car_horn_background,3,0,0.7167689161554193,baseline
car_horn_background,3,3,0.7785276073619631,baseline
car_horn_background,3,6,0.8204498977505112,baseline
car_horn_background,3,9,0.8503067484662576,baseline
car_horn_background,3,12,0.8748466257668711,baseline
car_horn_background,3,15,0.8889570552147239,baseline
car_horn_background,3,18,0.9026584867075664,baseline
car_horn_background,3,21,0.911042944785276,baseline
car_horn_background,3,24,0.914519427402863,baseline
car_horn_background,3,27,0.9171779141104295,baseline
car_horn_background,3,30,0.9198364008179959,baseline
car_horn_background,6,-3,0.594683026584867,baseline
car_horn_background,6,0,0.6879345603271984,baseline
car_horn_background,6,3,0.7650306748466258,baseline
car_horn_background,6,6,0.8149284253578732,baseline
car_horn_background,6,9,0.8548057259713702,baseline
car_horn_background,6,12,0.880163599182004,baseline
car_horn_background,6,15,0.8979550102249488,baseline
car_horn_background,6,18,0.9122699386503067,baseline
car_horn_background,6,21,0.9200408997955011,baseline
car_horn_background,6,24,0.9237218813905931,baseline
car_horn_background,6,27,0.9267893660531697,baseline
car_horn_background,6,30,0.9286298568507158,baseline
car_horn_background,9,-3,0.5533742331288344,baseline
car_horn_background,9,0,0.6607361963190184,baseline
car_horn_background,9,3,0.7525562372188139,baseline
car_horn_background,9,6,0.814519427402863,baseline
car_horn_background,9,9,0.8550102249488752,baseline
car_horn_background,9,12,0.8877300613496932,baseline
car_horn_background,9,15,0.9077709611451943,baseline
car_horn_background,9,18,0.9218813905930471,baseline
car_horn_background,9,21,0.9280163599182004,baseline
car_horn_background,9,24,0.9335378323108384,baseline
car_horn_background,9,27,0.9372188139059304,baseline
car_horn_background,9,30,0.9368098159509203,baseline
car_horn_background,12,-3,0.5040899795501023,baseline
car_horn_background,12,0,0.6143149284253578,baseline
car_horn_background,12,3,0.710838445807771,baseline
car_horn_background,12,6,0.7893660531697342,baseline
car_horn_background,12,9,0.8415132924335378,baseline
car_horn_background,12,12,0.8807770961145194,baseline
car_horn_background,12,15,0.9059304703476483,baseline
car_horn_background,12,18,0.9202453987730062,baseline
car_horn_background,12,21,0.92719836400818,baseline
