model,noise_type,snr_train,snr_test,accuracy
baseline,car_horn_background,-3,-3,0.7658486707566462
noise-aware,car_horn_background,-3,-3,0.7034764826175869
baseline,car_horn_background,-3,24,0.9423312883435583
noise-aware,car_horn_background,-3,24,0.9505112474437628
baseline,car_horn_background,24,-3,0.6879345603271984
noise-aware,car_horn_background,24,-3,0.5644171779141104
baseline,car_horn_background,24,24,0.949079754601227
noise-aware,car_horn_background,24,24,0.9521472392638037
baseline,dog_bark_foreground,-3,-3,0.8404907975460123
noise-aware,dog_bark_foreground,-3,-3,0.847239263803681
baseline,dog_bark_foreground,-3,24,0.9576687116564417
noise-aware,dog_bark_foreground,-3,24,0.9597137014314928
baseline,dog_bark_foreground,24,-3,0.8271983640081799
noise-aware,dog_bark_foreground,24,-3,0.8040899795501022
baseline,dog_bark_foreground,24,24,0.9566462167689161
noise-aware,dog_bark_foreground,24,24,0.9597137014314928
baseline,street_music_foreground,-3,-3,0.34846625766871164
noise-aware,street_music_foreground,-3,-3,0.4539877300613497
baseline,street_music_foreground,-3,24,0.9351738241308793
noise-aware,street_music_foreground,-3,24,0.9474437627811861
baseline,street_music_foreground,24,-3,0.29243353783231085
noise-aware,street_music_foreground,24,-3,0.33496932515337424
baseline,street_music_foreground,24,24,0.9470347648261759
noise-aware,street_music_foreground,24,24,0.9515337423312883
