model,noise_type,snr_train,epochs_1,epochs_2,epochs_3,epochs_4,epochs_5
baseline,car_horn_background,-3,0.7341513292433538,0.7531697341513293,0.7660531697341514,0.7656441717791411,0.7652351738241309
noise_aware,car_horn_background,-3,0.6257668711656442,0.665439672801636,0.694683026584867,0.7204498977505113,0.7347648261758691
baseline,car_horn_background,0,0.8167689161554192,0.8261758691206544,0.8286298568507158,0.8274028629856851,0.8265848670756646
noise_aware,car_horn_background,0,0.7124744376278118,0.7458077709611451,0.7721881390593047,0.7885480572597137,0.8042944785276074
baseline,car_horn_background,3,0.8633946830265848,0.8656441717791411,0.8685071574642127,0.867280163599182,0.8646216768916155
noise_aware,car_horn_background,3,0.7881390593047035,0.8114519427402863,0.8316973415132924,0.8458077709611452,0.8537832310838446
baseline,car_horn_background,6,0.8924335378323108,0.8924335378323108,0.8922290388548058,0.8922290388548058,0.8920245398773006
noise_aware,car_horn_background,6,0.8431492842535787,0.8617586912065439,0.8742331288343558,0.8815950920245399,0.8858895705521472
baseline,car_horn_background,9,0.9087934560327199,0.9087934560327199,0.9098159509202454,0.9075664621676892,0.9094069529652352
noise_aware,car_horn_background,9,0.881799591002045,0.8897750511247444,0.8973415132924335,0.9028629856850716,0.905316973415133
baseline,car_horn_background,12,0.9224948875255624,0.9229038854805726,0.9235173824130879,0.9243353783231084,0.9245398773006135
noise_aware,car_horn_background,12,0.905316973415133,0.90920245398773,0.912883435582822,0.9151329243353783,0.9171779141104295
baseline,car_horn_background,15,0.9319018404907975,0.9343558282208589,0.9329243353783231,0.9337423312883436,0.9333333333333333
noise_aware,car_horn_background,15,0.9237218813905931,0.9278118609406953,0.9316973415132924,0.9316973415132924,0.9329243353783231
baseline,car_horn_background,18,0.9408997955010225,0.9408997955010225,0.940081799591002,0.9402862985685072,0.9406952965235174
noise_aware,car_horn_background,18,0.9388548057259714,0.939877300613497,0.9406952965235174,0.940081799591002,0.9396728016359919
