model,noise_type,snr_test,accuracy
baseline,car_horn_background,-3,0.43006134969325155
noise_aware,car_horn_background,-3,0.33680981595092024
baseline,car_horn_background,0,0.5425357873210634
noise_aware,car_horn_background,0,0.4288343558282209
baseline,car_horn_background,3,0.6648261758691206
noise_aware,car_horn_background,3,0.5247443762781187
baseline,car_horn_background,6,0.7584867075664622
noise_aware,car_horn_background,6,0.6153374233128834
baseline,car_horn_background,9,0.8290388548057259
noise_aware,car_horn_background,9,0.7036809815950921
baseline,car_horn_background,12,0.8701431492842536
noise_aware,car_horn_background,12,0.7770961145194274
baseline,car_horn_background,15,0.9014314928425358
noise_aware,car_horn_background,15,0.8261758691206544
baseline,car_horn_background,18,0.9169734151329243
noise_aware,car_horn_background,18,0.869120654396728
baseline,car_horn_background,21,0.9351738241308793
noise_aware,car_horn_background,21,0.8979550102249488
baseline,car_horn_background,24,0.9445807770961145
noise_aware,car_horn_background,24,0.9196319018404908
baseline,dog_bark_foreground,-3,0.7844580777096114
noise_aware,dog_bark_foreground,-3,0.7484662576687117
baseline,dog_bark_foreground,0,0.8269938650306748
noise_aware,dog_bark_foreground,0,0.7971370143149284
baseline,dog_bark_foreground,3,0.8644171779141104
noise_aware,dog_bark_foreground,3,0.8429447852760736
baseline,dog_bark_foreground,6,0.8916155419222904
noise_aware,dog_bark_foreground,6,0.8740286298568507
baseline,dog_bark_foreground,9,0.9137014314928426
noise_aware,dog_bark_foreground,9,0.8973415132924335
baseline,dog_bark_foreground,12,0.9286298568507158
noise_aware,dog_bark_foreground,12,0.9179959100204499
baseline,dog_bark_foreground,15,0.9386503067484663
noise_aware,dog_bark_foreground,15,0.9357873210633947
baseline,dog_bark_foreground,18,0.9476482617586912
noise_aware,dog_bark_foreground,18,0.9451942740286299
baseline,dog_bark_foreground,21,0.9523517382413088
noise_aware,dog_bark_foreground,21,0.9492842535787321
baseline,dog_bark_foreground,24,0.9541922290388548
noise_aware,dog_bark_foreground,24,0.9523517382413088
baseline,street_music_foreground,-3,0.22229038854805727
noise_aware,street_music_foreground,-3,0.41738241308793456
baseline,street_music_foreground,0,0.36175869120654397
noise_aware,street_music_foreground,0,0.6120654396728016
baseline,street_music_foreground,3,0.5404907975460123
noise_aware,street_music_foreground,3,0.7429447852760737
baseline,street_music_foreground,6,0.6957055214723926
noise_aware,street_music_foreground,6,0.8224948875255623
baseline,street_music_foreground,9,0.8026584867075665
noise_aware,street_music_foreground,9,0.8697341513292434
baseline,street_music_foreground,12,0.8576687116564418
noise_aware,street_music_foreground,12,0.8969325153374234
baseline,street_music_foreground,15,0.8920245398773006
noise_aware,street_music_foreground,15,0.9149284253578732
baseline,street_music_foreground,18,0.9177914110429448
noise_aware,street_music_foreground,18,0.9282208588957055
baseline,street_music_foreground,21,0.9304703476482618
noise_aware,street_music_foreground,21,0.93640081799591
baseline,street_music_foreground,24,0.938241308793456
noise_aware,street_music_foreground,24,0.9423312883435583
