,seed,noise_snr,noise_test,accuracy
0,0,,Noiseless,0.9621676891615542
1,1,,Noiseless,0.9623721881390593
2,2,,Noiseless,0.9613496932515337
3,3,,Noiseless,0.9644171779141104
4,4,,Noiseless,0.9611451942740287
5,5,,Noiseless,0.9623721881390593
6,6,,Noiseless,0.9609406952965235
7,7,,Noiseless,0.96359918200409
8,8,,Noiseless,0.9623721881390593
9,9,,Noiseless,0.961758691206544
10,10,,Noiseless,0.9615541922290388
11,11,,Noiseless,0.9638036809815951
12,12,,Noiseless,0.9652351738241309
13,13,,Noiseless,0.9625766871165644
14,14,,Noiseless,0.9660531697341513
15,15,,Noiseless,0.96359918200409
16,16,,Noiseless,0.9613496932515337
17,17,,Noiseless,0.9621676891615542
18,18,,Noiseless,0.9650306748466257
19,19,,Noiseless,0.9621676891615542
20,20,,Noiseless,0.9621676891615542
21,21,,Noiseless,0.9595092024539877
22,22,,Noiseless,0.9656441717791411
23,23,,Noiseless,0.9625766871165644
24,24,,Noiseless,0.9621676891615542
25,0,24,white,0.9386503067484663
26,0,24,pink,0.9458077709611452
27,0,24,babble,0.9546012269938651
28,0,24,kitchen,0.9539877300613497
29,0,24,office,0.9593047034764827
30,0,24,living,0.9578732106339468
31,0,21,white,0.9265848670756647
32,0,21,pink,0.9343558282208589
33,0,21,babble,0.9501022494887525
34,0,21,kitchen,0.9503067484662576
35,0,21,office,0.9568507157464212
36,0,21,living,0.9572597137014315
37,0,18,white,0.9042944785276074
38,0,18,pink,0.9151329243353783
39,0,24,white,0.9421267893660532
40,1,24,white,0.9470347648261759
41,2,24,white,0.9425357873210634
42,3,24,white,0.9449897750511247
43,4,24,white,0.9421267893660532
44,5,24,white,0.945398773006135
45,6,24,white,0.9423312883435583
46,7,24,white,0.9429447852760736
47,8,24,white,0.9386503067484663
48,9,24,white,0.943762781186094
49,10,24,white,0.9404907975460123
50,11,24,white,0.947239263803681
51,12,24,white,0.943558282208589
52,13,24,white,0.9462167689161555
53,14,24,white,0.9486707566462168
54,15,24,white,0.9388548057259714
55,16,24,white,0.9425357873210634
56,17,24,white,0.943558282208589
57,18,24,white,0.9386503067484663
58,19,24,white,0.9462167689161555
59,20,24,white,0.9396728016359919
60,21,24,white,0.943558282208589
61,22,24,white,0.947239263803681
62,23,24,white,0.9451942740286299
63,24,24,white,0.943558282208589
64,0,24,pink,0.93640081799591
65,1,24,pink,0.9484662576687116
66,2,24,pink,0.9466257668711656
67,3,24,pink,0.9433537832310839
68,4,24,pink,0.9384458077709611
69,5,24,pink,0.9423312883435583
70,6,24,pink,0.9431492842535787
