seed,noise_percentage,noise_test,accuracy,noise_snr
0,20,Noiseless,0.9597137014314928,
1,20,Noiseless,0.9591002044989775,
2,20,Noiseless,0.9629856850715747,
3,20,Noiseless,0.9627811860940695,
4,20,Noiseless,0.9615541922290388,
5,20,Noiseless,0.9644171779141104,
6,20,Noiseless,0.9582822085889571,
7,20,Noiseless,0.9613496932515337,
8,20,Noiseless,0.9623721881390593,
9,20,Noiseless,0.9578732106339468,
10,20,Noiseless,0.959918200408998,
11,20,Noiseless,0.959918200408998,
12,20,Noiseless,0.9648261758691207,
13,20,Noiseless,0.9597137014314928,
14,20,Noiseless,0.9615541922290388,
15,20,Noiseless,0.9584867075664621,
16,20,Noiseless,0.9613496932515337,
17,20,Noiseless,0.961758691206544,
18,20,Noiseless,0.9570552147239264,
19,20,Noiseless,0.959918200408998,
20,20,Noiseless,0.9588957055214724,
21,20,Noiseless,0.9576687116564417,
22,20,Noiseless,0.9597137014314928,
23,20,Noiseless,0.9588957055214724,
24,20,Noiseless,0.9609406952965235,
0,40,Noiseless,0.9621676891615542,
1,40,Noiseless,0.9578732106339468,
2,40,Noiseless,0.9613496932515337,
3,40,Noiseless,0.9605316973415133,
4,40,Noiseless,0.9595092024539877,
5,40,Noiseless,0.96359918200409,
6,40,Noiseless,0.9586912065439673,
7,40,Noiseless,0.9601226993865031,
8,40,Noiseless,0.9558282208588957,
9,40,Noiseless,0.9576687116564417,
10,40,Noiseless,0.9595092024539877,
11,40,Noiseless,0.9603271983640081,
12,40,Noiseless,0.9591002044989775,
13,40,Noiseless,0.961758691206544,
14,40,Noiseless,0.9597137014314928,
15,40,Noiseless,0.965439672801636,
16,40,Noiseless,0.9631901840490797,
17,40,Noiseless,0.9595092024539877,
18,40,Noiseless,0.9578732106339468,
19,40,Noiseless,0.9566462167689161,
20,40,Noiseless,0.9591002044989775,
21,40,Noiseless,0.9588957055214724,
22,40,Noiseless,0.9613496932515337,
23,40,Noiseless,0.9603271983640081,
24,40,Noiseless,0.9558282208588957,
0,60,Noiseless,0.9576687116564417,
1,60,Noiseless,0.9591002044989775,
2,60,Noiseless,0.9609406952965235,
3,60,Noiseless,0.9584867075664621,
4,60,Noiseless,0.9595092024539877,
5,60,Noiseless,0.9613496932515337,
6,60,Noiseless,0.9570552147239264,
7,60,Noiseless,0.9588957055214724,
8,60,Noiseless,0.9588957055214724,
9,60,Noiseless,0.9574642126789366,
10,60,Noiseless,0.9623721881390593,
11,60,Noiseless,0.9638036809815951,
12,60,Noiseless,0.9578732106339468,
13,60,Noiseless,0.9597137014314928,
14,60,Noiseless,0.9605316973415133,
15,60,Noiseless,0.9615541922290388,
16,60,Noiseless,0.9601226993865031,
17,60,Noiseless,0.9601226993865031,
18,60,Noiseless,0.9535787321063395,
19,60,Noiseless,0.9605316973415133,
20,60,Noiseless,0.961758691206544,
21,60,Noiseless,0.9593047034764827,
22,60,Noiseless,0.9595092024539877,
23,60,Noiseless,0.9593047034764827,
24,60,Noiseless,0.9586912065439673,
0,80,Noiseless,0.959918200408998,
1,80,Noiseless,0.9574642126789366,
2,80,Noiseless,0.9558282208588957,
3,80,Noiseless,0.9609406952965235,
4,80,Noiseless,0.9593047034764827,
5,80,Noiseless,0.9593047034764827,
6,80,Noiseless,0.9566462167689161,
7,80,Noiseless,0.9566462167689161,
8,80,Noiseless,0.9591002044989775,
9,80,Noiseless,0.9543967280163599,
10,80,Noiseless,0.9578732106339468,
11,80,Noiseless,0.9615541922290388,
12,80,Noiseless,0.9609406952965235,
13,80,Noiseless,0.9611451942740287,
14,80,Noiseless,0.9572597137014315,
15,80,Noiseless,0.9582822085889571,
16,80,Noiseless,0.961758691206544,
17,80,Noiseless,0.9580777096114519,
18,80,Noiseless,0.9550102249488752,
19,80,Noiseless,0.9564417177914111,
20,80,Noiseless,0.9550102249488752,
21,80,Noiseless,0.9546012269938651,
22,80,Noiseless,0.9595092024539877,
23,80,Noiseless,0.9584867075664621,
24,80,Noiseless,0.9578732106339468,
0,100,Noiseless,0.9574642126789366,
1,100,Noiseless,0.9611451942740287,
2,100,Noiseless,0.9570552147239264,
3,100,Noiseless,0.9601226993865031,
4,100,Noiseless,0.9564417177914111,
5,100,Noiseless,0.9591002044989775,
6,100,Noiseless,0.9537832310838446,
7,100,Noiseless,0.9574642126789366,
8,100,Noiseless,0.9568507157464212,
9,100,Noiseless,0.9570552147239264,
10,100,Noiseless,0.9566462167689161,
11,100,Noiseless,0.9566462167689161,
12,100,Noiseless,0.9591002044989775,
13,100,Noiseless,0.9586912065439673,
14,100,Noiseless,0.9566462167689161,
15,100,Noiseless,0.9568507157464212,
16,100,Noiseless,0.9591002044989775,
17,100,Noiseless,0.9541922290388548,
18,100,Noiseless,0.9582822085889571,
19,100,Noiseless,0.9568507157464212,
20,100,Noiseless,0.9546012269938651,
21,100,Noiseless,0.9558282208588957,
22,100,Noiseless,0.9597137014314928,
23,100,Noiseless,0.9556237218813906,
24,100,Noiseless,0.9576687116564417,
0,20,white,0.9470347648261759,24.0
1,20,white,0.947239263803681,24.0
2,20,white,0.9478527607361963,24.0
3,20,white,0.9521472392638037,24.0
4,20,white,0.943558282208589,24.0
5,20,white,0.950920245398773,24.0
6,20,white,0.9449897750511247,24.0
7,20,white,0.949079754601227,24.0
8,20,white,0.9445807770961145,24.0
9,20,white,0.9456032719836401,24.0
10,20,white,0.9474437627811861,24.0
11,20,white,0.9511247443762781,24.0
12,20,white,0.9511247443762781,24.0
13,20,white,0.9466257668711656,24.0
14,20,white,0.9480572597137015,24.0
15,20,white,0.9443762781186094,24.0
16,20,white,0.9480572597137015,24.0
17,20,white,0.9498977505112475,24.0
18,20,white,0.9445807770961145,24.0
19,20,white,0.943558282208589,24.0
20,20,white,0.9494887525562372,24.0
21,20,white,0.9439672801635992,24.0
22,20,white,0.9470347648261759,24.0
23,20,white,0.943762781186094,24.0
24,20,white,0.9480572597137015,24.0
0,20,white,0.943558282208589,21.0
1,20,white,0.9406952965235174,21.0
2,20,white,0.9458077709611452,21.0
3,20,white,0.9425357873210634,21.0
4,20,white,0.9413087934560327,21.0
5,20,white,0.9431492842535787,21.0
6,20,white,0.9394683026584867,21.0
7,20,white,0.9433537832310839,21.0
8,20,white,0.9413087934560327,21.0
9,20,white,0.9423312883435583,21.0
10,20,white,0.9439672801635992,21.0
11,20,white,0.9429447852760736,21.0
12,20,white,0.9421267893660532,21.0
13,20,white,0.9421267893660532,21.0
14,20,white,0.9408997955010225,21.0
15,20,white,0.9421267893660532,21.0
16,20,white,0.9431492842535787,21.0
17,20,white,0.9456032719836401,21.0
18,20,white,0.943558282208589,21.0
19,20,white,0.9384458077709611,21.0
20,20,white,0.945398773006135,21.0
21,20,white,0.9431492842535787,21.0
22,20,white,0.9408997955010225,21.0
23,20,white,0.9376278118609407,21.0
24,20,white,0.941717791411043,21.0
0,20,white,0.9341513292433538,18.0
1,20,white,0.9349693251533743,18.0
2,20,white,0.938036809815951,18.0
3,20,white,0.9406952965235174,18.0
4,20,white,0.9343558282208589,18.0
5,20,white,0.9390593047034764,18.0
6,20,white,0.9329243353783231,18.0
7,20,white,0.9394683026584867,18.0
8,20,white,0.9376278118609407,18.0
9,20,white,0.9357873210633947,18.0
10,20,white,0.9370143149284254,18.0
11,20,white,0.9392638036809816,18.0
12,20,white,0.938241308793456,18.0
13,20,white,0.9374233128834356,18.0
14,20,white,0.9394683026584867,18.0
15,20,white,0.9349693251533743,18.0
16,20,white,0.9384458077709611,18.0
17,20,white,0.9413087934560327,18.0
18,20,white,0.9366053169734151,18.0
19,20,white,0.9349693251533743,18.0
20,20,white,0.9378323108384458,18.0
21,20,white,0.9366053169734151,18.0
22,20,white,0.9368098159509203,18.0
23,20,white,0.9376278118609407,18.0
24,20,white,0.938036809815951,18.0
0,20,white,0.9284253578732107,15.0
1,20,white,0.9251533742331288,15.0
2,20,white,0.9292433537832311,15.0
3,20,white,0.932719836400818,15.0
4,20,white,0.9261758691206544,15.0
5,20,white,0.9296523517382413,15.0
6,20,white,0.9288343558282208,15.0
7,20,white,0.9323108384458078,15.0
8,20,white,0.9296523517382413,15.0
9,20,white,0.9265848670756647,15.0
10,20,white,0.9241308793456032,15.0
11,20,white,0.9304703476482618,15.0
12,20,white,0.9314928425357873,15.0
13,20,white,0.9304703476482618,15.0
14,20,white,0.9292433537832311,15.0
15,20,white,0.9286298568507158,15.0
16,20,white,0.9300613496932515,15.0
17,20,white,0.9331288343558283,15.0
18,20,white,0.9302658486707567,15.0
19,20,white,0.9263803680981595,15.0
20,20,white,0.9357873210633947,15.0
21,20,white,0.9286298568507158,15.0
22,20,white,0.9292433537832311,15.0
23,20,white,0.9296523517382413,15.0
24,20,white,0.9292433537832311,15.0
0,20,white,0.9153374233128835,12.0
1,20,white,0.9226993865030675,12.0
2,20,white,0.9222903885480572,12.0
3,20,white,0.9255623721881391,12.0
4,20,white,0.9130879345603272,12.0
5,20,white,0.9220858895705522,12.0
6,20,white,0.9175869120654396,12.0
7,20,white,0.9208588957055215,12.0
8,20,white,0.9179959100204499,12.0
9,20,white,0.9224948875255624,12.0
10,20,white,0.9200408997955011,12.0
11,20,white,0.9245398773006135,12.0
12,20,white,0.9198364008179959,12.0
13,20,white,0.914519427402863,12.0
14,20,white,0.9214723926380368,12.0
15,20,white,0.9198364008179959,12.0
16,20,white,0.9190184049079755,12.0
17,20,white,0.9255623721881391,12.0
18,20,white,0.9177914110429448,12.0
19,20,white,0.914519427402863,12.0
20,20,white,0.9214723926380368,12.0
21,20,white,0.9198364008179959,12.0
22,20,white,0.918200408997955,12.0
23,20,white,0.9212678936605317,12.0
24,20,white,0.9188139059304703,12.0
0,20,white,0.9022494887525563,9.0
1,20,white,0.9077709611451943,9.0
2,20,white,0.912883435582822,9.0
3,20,white,0.9141104294478528,9.0
4,20,white,0.905316973415133,9.0
5,20,white,0.911042944785276,9.0
6,20,white,0.9085889570552147,9.0
7,20,white,0.9087934560327199,9.0
8,20,white,0.9067484662576687,9.0
9,20,white,0.9083844580777096,9.0
10,20,white,0.9077709611451943,9.0
11,20,white,0.910838445807771,9.0
12,20,white,0.9104294478527607,9.0
13,20,white,0.912678936605317,9.0
14,20,white,0.9143149284253579,9.0
15,20,white,0.9122699386503067,9.0
16,20,white,0.9077709611451943,9.0
17,20,white,0.911042944785276,9.0
18,20,white,0.9069529652351738,9.0
19,20,white,0.9067484662576687,9.0
20,20,white,0.9085889570552147,9.0
21,20,white,0.9044989775051124,9.0
22,20,white,0.9083844580777096,9.0
23,20,white,0.9087934560327199,9.0
24,20,white,0.907361963190184,9.0
0,20,white,0.8824130879345603,6.0
1,20,white,0.8914110429447852,6.0
2,20,white,0.8965235173824131,6.0
3,20,white,0.8979550102249488,6.0
4,20,white,0.8930470347648262,6.0
5,20,white,0.8916155419222904,6.0
6,20,white,0.8926380368098159,6.0
7,20,white,0.8971370143149284,6.0
8,20,white,0.894478527607362,6.0
9,20,white,0.8903885480572598,6.0
10,20,white,0.8926380368098159,6.0
11,20,white,0.8977505112474438,6.0
12,20,white,0.8975460122699387,6.0
13,20,white,0.8930470347648262,6.0
14,20,white,0.8965235173824131,6.0
15,20,white,0.8922290388548058,6.0
16,20,white,0.8910020449897751,6.0
17,20,white,0.8938650306748466,6.0
18,20,white,0.8905930470347648,6.0
19,20,white,0.8914110429447852,6.0
20,20,white,0.8965235173824131,6.0
21,20,white,0.8946830265848671,6.0
22,20,white,0.8914110429447852,6.0
23,20,white,0.8922290388548058,6.0
24,20,white,0.8924335378323108,6.0
0,20,white,0.8640081799591002,3.0
1,20,white,0.8695296523517383,3.0
2,20,white,0.8719836400817996,3.0
3,20,white,0.8760736196319019,3.0
4,20,white,0.8676891615541922,3.0
5,20,white,0.8660531697341514,3.0
6,20,white,0.8693251533742331,3.0
7,20,white,0.868916155419223,3.0
8,20,white,0.8713701431492843,3.0
9,20,white,0.8699386503067484,3.0
10,20,white,0.8695296523517383,3.0
11,20,white,0.8754601226993866,3.0
12,20,white,0.8742331288343558,3.0
13,20,white,0.87280163599182,3.0
14,20,white,0.8756646216768916,3.0
15,20,white,0.8711656441717791,3.0
16,20,white,0.872597137014315,3.0
17,20,white,0.87280163599182,3.0
18,20,white,0.870961145194274,3.0
19,20,white,0.867280163599182,3.0
20,20,white,0.8742331288343558,3.0
21,20,white,0.8668711656441718,3.0
22,20,white,0.8674846625766871,3.0
23,20,white,0.8752556237218814,3.0
24,20,white,0.876482617586912,3.0
0,20,white,0.8394683026584867,0.0
1,20,white,0.8402862985685071,0.0
2,20,white,0.8458077709611452,0.0
3,20,white,0.8498977505112475,0.0
4,20,white,0.8394683026584867,0.0
5,20,white,0.841717791411043,0.0
6,20,white,0.8413087934560327,0.0
7,20,white,0.8476482617586912,0.0
8,20,white,0.8431492842535787,0.0
9,20,white,0.841717791411043,0.0
10,20,white,0.84560327198364,0.0
11,20,white,0.8425357873210634,0.0
12,20,white,0.8415132924335378,0.0
13,20,white,0.8415132924335378,0.0
14,20,white,0.8470347648261759,0.0
15,20,white,0.8427402862985685,0.0
16,20,white,0.849284253578732,0.0
17,20,white,0.8464212678936606,0.0
18,20,white,0.8390593047034764,0.0
19,20,white,0.8372188139059304,0.0
20,20,white,0.8501022494887526,0.0
21,20,white,0.8408997955010225,0.0
22,20,white,0.8478527607361963,0.0
23,20,white,0.8408997955010225,0.0
24,20,white,0.8433537832310839,0.0
0,20,white,0.7858895705521473,-3.0
1,20,white,0.7912065439672802,-3.0
2,20,white,0.7936605316973415,-3.0
3,20,white,0.7942740286298569,-3.0
4,20,white,0.8008179959100205,-3.0
5,20,white,0.7940695296523518,-3.0
6,20,white,0.7885480572597137,-3.0
7,20,white,0.7944785276073619,-3.0
8,20,white,0.7993865030674847,-3.0
9,20,white,0.7926380368098159,-3.0
10,20,white,0.7946830265848671,-3.0
11,20,white,0.8008179959100205,-3.0
12,20,white,0.7940695296523518,-3.0
13,20,white,0.7955010224948875,-3.0
14,20,white,0.7985685071574642,-3.0
15,20,white,0.7871165644171779,-3.0
16,20,white,0.7844580777096114,-3.0
17,20,white,0.7916155419222903,-3.0
18,20,white,0.7924335378323109,-3.0
19,20,white,0.787321063394683,-3.0
20,20,white,0.7969325153374233,-3.0
21,20,white,0.789161554192229,-3.0
22,20,white,0.8008179959100205,-3.0
23,20,white,0.7993865030674847,-3.0
24,20,white,0.7777096114519427,-3.0
0,20,pink,0.9445807770961145,24.0
1,20,pink,0.9443762781186094,24.0
2,20,pink,0.9464212678936605,24.0
3,20,pink,0.9468302658486708,24.0
4,20,pink,0.9415132924335379,24.0
5,20,pink,0.9498977505112475,24.0
6,20,pink,0.9466257668711656,24.0
7,20,pink,0.9480572597137015,24.0
8,20,pink,0.9470347648261759,24.0
9,20,pink,0.9480572597137015,24.0
10,20,pink,0.9433537832310839,24.0
11,20,pink,0.9468302658486708,24.0
12,20,pink,0.9480572597137015,24.0
13,20,pink,0.9451942740286299,24.0
14,20,pink,0.9515337423312883,24.0
15,20,pink,0.945398773006135,24.0
16,20,pink,0.9466257668711656,24.0
17,20,pink,0.9470347648261759,24.0
18,20,pink,0.9441717791411043,24.0
19,20,pink,0.9415132924335379,24.0
20,20,pink,0.9476482617586912,24.0
21,20,pink,0.9462167689161555,24.0
22,20,pink,0.9451942740286299,24.0
23,20,pink,0.941922290388548,24.0
24,20,pink,0.943558282208589,24.0
0,20,pink,0.9406952965235174,21.0
1,20,pink,0.9423312883435583,21.0
2,20,pink,0.9443762781186094,21.0
3,20,pink,0.9468302658486708,21.0
4,20,pink,0.9357873210633947,21.0
5,20,pink,0.941717791411043,21.0
6,20,pink,0.940081799591002,21.0
7,20,pink,0.9404907975460123,21.0
8,20,pink,0.9439672801635992,21.0
9,20,pink,0.9415132924335379,21.0
10,20,pink,0.941922290388548,21.0
11,20,pink,0.943558282208589,21.0
12,20,pink,0.9449897750511247,21.0
13,20,pink,0.941717791411043,21.0
14,20,pink,0.9439672801635992,21.0
15,20,pink,0.9359918200408998,21.0
16,20,pink,0.9411042944785276,21.0
17,20,pink,0.943558282208589,21.0
18,20,pink,0.938241308793456,21.0
19,20,pink,0.938241308793456,21.0
20,20,pink,0.9421267893660532,21.0
21,20,pink,0.9406952965235174,21.0
22,20,pink,0.941717791411043,21.0
23,20,pink,0.9353783231083844,21.0
24,20,pink,0.9394683026584867,21.0
0,20,pink,0.934560327198364,18.0
1,20,pink,0.9341513292433538,18.0
2,20,pink,0.9366053169734151,18.0
3,20,pink,0.9396728016359919,18.0
4,20,pink,0.9304703476482618,18.0
5,20,pink,0.93640081799591,18.0
6,20,pink,0.934560327198364,18.0
7,20,pink,0.9359918200408998,18.0
8,20,pink,0.9355828220858896,18.0
9,20,pink,0.9306748466257668,18.0
10,20,pink,0.9335378323108384,18.0
11,20,pink,0.9331288343558283,18.0
12,20,pink,0.9355828220858896,18.0
13,20,pink,0.9347648261758691,18.0
14,20,pink,0.934560327198364,18.0
15,20,pink,0.9329243353783231,18.0
16,20,pink,0.9347648261758691,18.0
17,20,pink,0.9343558282208589,18.0
18,20,pink,0.9335378323108384,18.0
19,20,pink,0.9294478527607362,18.0
20,20,pink,0.93640081799591,18.0
21,20,pink,0.9335378323108384,18.0
22,20,pink,0.9370143149284254,18.0
23,20,pink,0.9323108384458078,18.0
24,20,pink,0.9335378323108384,18.0
0,20,pink,0.9218813905930471,15.0
1,20,pink,0.9253578732106339,15.0
2,20,pink,0.930879345603272,15.0
3,20,pink,0.930879345603272,15.0
4,20,pink,0.9214723926380368,15.0
5,20,pink,0.9255623721881391,15.0
6,20,pink,0.9233128834355828,15.0
7,20,pink,0.92719836400818,15.0
8,20,pink,0.9245398773006135,15.0
9,20,pink,0.9269938650306748,15.0
10,20,pink,0.9200408997955011,15.0
11,20,pink,0.9261758691206544,15.0
12,20,pink,0.9282208588957055,15.0
13,20,pink,0.930879345603272,15.0
14,20,pink,0.9298568507157464,15.0
15,20,pink,0.9253578732106339,15.0
16,20,pink,0.9229038854805726,15.0
17,20,pink,0.929038854805726,15.0
18,20,pink,0.9265848670756647,15.0
19,20,pink,0.9220858895705522,15.0
20,20,pink,0.9269938650306748,15.0
21,20,pink,0.9241308793456032,15.0
22,20,pink,0.9241308793456032,15.0
23,20,pink,0.9251533742331288,15.0
24,20,pink,0.9276073619631902,15.0
0,20,pink,0.9104294478527607,12.0
1,20,pink,0.914519427402863,12.0
2,20,pink,0.9196319018404908,12.0
3,20,pink,0.9159509202453988,12.0
4,20,pink,0.912883435582822,12.0
5,20,pink,0.9159509202453988,12.0
6,20,pink,0.9104294478527607,12.0
7,20,pink,0.9190184049079755,12.0
8,20,pink,0.916359918200409,12.0
9,20,pink,0.9179959100204499,12.0
10,20,pink,0.9116564417177914,12.0
11,20,pink,0.912678936605317,12.0
12,20,pink,0.9202453987730062,12.0
13,20,pink,0.9188139059304703,12.0
14,20,pink,0.9184049079754601,12.0
15,20,pink,0.914519427402863,12.0
16,20,pink,0.9171779141104295,12.0
17,20,pink,0.9167689161554192,12.0
18,20,pink,0.9194274028629856,12.0
19,20,pink,0.9122699386503067,12.0
20,20,pink,0.9161554192229039,12.0
21,20,pink,0.9118609406952966,12.0
22,20,pink,0.9159509202453988,12.0
23,20,pink,0.9102249488752556,12.0
24,20,pink,0.9155419222903886,12.0
0,20,pink,0.8907975460122699,9.0
1,20,pink,0.8942740286298568,9.0
2,20,pink,0.9065439672801636,9.0
3,20,pink,0.9030674846625767,9.0
4,20,pink,0.8987730061349694,9.0
5,20,pink,0.8965235173824131,9.0
6,20,pink,0.898159509202454,9.0
7,20,pink,0.8973415132924335,9.0
8,20,pink,0.8997955010224948,9.0
9,20,pink,0.9012269938650307,9.0
10,20,pink,0.8955010224948875,9.0
11,20,pink,0.8975460122699387,9.0
12,20,pink,0.9024539877300614,9.0
13,20,pink,0.9006134969325154,9.0
14,20,pink,0.9006134969325154,9.0
15,20,pink,0.8969325153374234,9.0
16,20,pink,0.8989775051124744,9.0
17,20,pink,0.8975460122699387,9.0
18,20,pink,0.8987730061349694,9.0
19,20,pink,0.8936605316973415,9.0
20,20,pink,0.901840490797546,9.0
21,20,pink,0.8983640081799591,9.0
22,20,pink,0.8991820040899795,9.0
23,20,pink,0.8952965235173824,9.0
24,20,pink,0.8952965235173824,9.0
0,20,pink,0.8711656441717791,6.0
1,20,pink,0.8693251533742331,6.0
2,20,pink,0.8785276073619632,6.0
3,20,pink,0.8840490797546012,6.0
4,20,pink,0.8734151329243354,6.0
5,20,pink,0.8830265848670756,6.0
6,20,pink,0.874642126789366,6.0
7,20,pink,0.8791411042944786,6.0
8,20,pink,0.8752556237218814,6.0
9,20,pink,0.8815950920245399,6.0
10,20,pink,0.8760736196319019,6.0
11,20,pink,0.876482617586912,6.0
12,20,pink,0.8846625766871166,6.0
13,20,pink,0.8828220858895706,6.0
14,20,pink,0.8844580777096115,6.0
15,20,pink,0.8826175869120655,6.0
16,20,pink,0.8795501022494887,6.0
17,20,pink,0.8791411042944786,6.0
18,20,pink,0.8748466257668711,6.0
19,20,pink,0.876278118609407,6.0
20,20,pink,0.8775051124744376,6.0
21,20,pink,0.874642126789366,6.0
22,20,pink,0.8785276073619632,6.0
23,20,pink,0.8748466257668711,6.0
24,20,pink,0.8856850715746422,6.0
0,20,pink,0.8411042944785276,3.0
1,20,pink,0.8468302658486707,3.0
2,20,pink,0.8515337423312883,3.0
3,20,pink,0.8480572597137014,3.0
