,noise_train,noise_snr,noise_test,accuracy
0,Noiseless,24,Noiseless,0.9640081799591002
1,,24,white,0.9456032719836401
2,,24,pink,0.9486707566462168
3,,24,babble,0.9550102249488752
4,,24,kitchen,0.9570552147239264
5,,24,office,0.959918200408998
6,,24,living,0.9595092024539877
7,Noiseless,18,Noiseless,0.9640081799591002
8,,18,white,0.9316973415132924
9,,18,pink,0.9302658486707567
10,,18,babble,0.9468302658486708
11,,18,kitchen,0.950920245398773
12,,18,office,0.9595092024539877
13,,18,living,0.9560327198364008
14,Noiseless,12,Noiseless,0.9640081799591002
15,,12,white,0.8742331288343558
16,,12,pink,0.8574642126789366
17,,12,babble,0.9224948875255624
18,,12,kitchen,0.9421267893660532
19,,12,office,0.9535787321063395
20,,12,living,0.9492842535787321
21,Noiseless,6,Noiseless,0.9640081799591002
22,,6,white,0.6206543967280164
23,,6,pink,0.5411042944785276
24,,6,babble,0.8668711656441718
25,,6,kitchen,0.9257668711656442
26,,6,office,0.9470347648261759
27,,6,living,0.9288343558282208
28,Noiseless,0,Noiseless,0.9640081799591002
29,,0,white,0.22719836400817997
30,,0,pink,0.14846625766871166
31,,0,babble,0.7130879345603272
32,,0,kitchen,0.8787321063394683
33,,0,office,0.9339468302658487
34,,0,living,0.8844580777096115
