noise_percentage,noise_test,accuracy,noise_snr
20,Noiseless,0.9625766871165644,
20,white,0.9476482617586912,24.0
20,white,0.943762781186094,21.0
20,white,0.9388548057259714,18.0
20,white,0.92719836400818,15.0
20,white,0.9184049079754601,12.0
20,white,0.9112474437627812,9.0
20,white,0.8895705521472392,6.0
20,white,0.8713701431492843,3.0
20,white,0.8445807770961146,0.0
20,white,0.7918200408997955,-3.0
20,pink,0.9482617586912065,24.0
20,pink,0.9402862985685072,21.0
20,pink,0.9357873210633947,18.0
20,pink,0.9251533742331288,15.0
20,pink,0.911042944785276,12.0
20,pink,0.9032719836400818,9.0
20,pink,0.8787321063394683,6.0
20,pink,0.839877300613497,3.0
20,pink,0.7959100204498978,0.0
20,pink,0.7306748466257669,-3.0
20,babble,0.9576687116564417,24.0
20,babble,0.9558282208588957,21.0
20,babble,0.9507157464212679,18.0
20,babble,0.9427402862985685,15.0
20,babble,0.9351738241308793,12.0
20,babble,0.9237218813905931,9.0
20,babble,0.9063394683026584,6.0
20,babble,0.8740286298568507,3.0
20,babble,0.8265848670756646,0.0
20,babble,0.7335378323108385,-3.0
20,kitchen,0.9572597137014315,24.0
20,kitchen,0.9560327198364008,21.0
20,kitchen,0.9519427402862985,18.0
20,kitchen,0.949079754601227,15.0
20,kitchen,0.945398773006135,12.0
20,kitchen,0.9431492842535787,9.0
20,kitchen,0.9353783231083844,6.0
20,kitchen,0.9294478527607362,3.0
20,kitchen,0.9188139059304703,0.0
20,kitchen,0.9081799591002045,-3.0
20,office,0.9611451942740287,24.0
20,office,0.9603271983640081,21.0
20,office,0.9591002044989775,18.0
20,office,0.9588957055214724,15.0
20,office,0.9582822085889571,12.0
20,office,0.9543967280163599,9.0
20,office,0.9482617586912065,6.0
20,office,0.9447852760736196,3.0
20,office,0.9396728016359919,0.0
20,office,0.9325153374233128,-3.0
20,living,0.9601226993865031,24.0
20,living,0.9582822085889571,21.0
20,living,0.9558282208588957,18.0
20,living,0.9492842535787321,15.0
20,living,0.9451942740286299,12.0
20,living,0.9357873210633947,9.0
20,living,0.9296523517382413,6.0
20,living,0.9179959100204499,3.0
20,living,0.9010224948875256,0.0
20,living,0.8668711656441718,-3.0
40,Noiseless,0.9642126789366053,
40,white,0.9501022494887525,24.0
40,white,0.9468302658486708,21.0
40,white,0.9423312883435583,18.0
40,white,0.9376278118609407,15.0
40,white,0.9233128834355828,12.0
40,white,0.9175869120654396,9.0
40,white,0.9010224948875256,6.0
40,white,0.8826175869120655,3.0
40,white,0.8550102249488752,0.0
40,white,0.8112474437627812,-3.0
40,pink,0.9529652351738241,24.0
40,pink,0.9464212678936605,21.0
40,pink,0.9376278118609407,18.0
40,pink,0.9312883435582822,15.0
40,pink,0.9204498977505112,12.0
40,pink,0.907361963190184,9.0
40,pink,0.8834355828220859,6.0
40,pink,0.8646216768916155,3.0
40,pink,0.8132924335378323,0.0
40,pink,0.7652351738241309,-3.0
40,babble,0.9582822085889571,24.0
40,babble,0.9550102249488752,21.0
40,babble,0.9513292433537832,18.0
40,babble,0.9464212678936605,15.0
40,babble,0.9396728016359919,12.0
40,babble,0.9269938650306748,9.0
40,babble,0.9124744376278119,6.0
40,babble,0.887321063394683,3.0
40,babble,0.8441717791411043,0.0
40,babble,0.7754601226993865,-3.0
40,kitchen,0.9558282208588957,24.0
40,kitchen,0.9548057259713701,21.0
40,kitchen,0.9529652351738241,18.0
40,kitchen,0.9501022494887525,15.0
40,kitchen,0.9456032719836401,12.0
40,kitchen,0.9443762781186094,9.0
40,kitchen,0.9378323108384458,6.0
40,kitchen,0.9329243353783231,3.0
40,kitchen,0.9235173824130879,0.0
40,kitchen,0.912883435582822,-3.0
40,office,0.9615541922290388,24.0
40,office,0.9611451942740287,21.0
40,office,0.9605316973415133,18.0
40,office,0.9603271983640081,15.0
40,office,0.9584867075664621,12.0
40,office,0.9576687116564417,9.0
40,office,0.9513292433537832,6.0
40,office,0.9470347648261759,3.0
40,office,0.9429447852760736,0.0
40,office,0.9392638036809816,-3.0
40,living,0.9595092024539877,24.0
40,living,0.9570552147239264,21.0
40,living,0.9568507157464212,18.0
40,living,0.9548057259713701,15.0
40,living,0.950920245398773,12.0
40,living,0.9478527607361963,9.0
40,living,0.9408997955010225,6.0
40,living,0.9306748466257668,3.0
40,living,0.9100204498977505,0.0
40,living,0.885480572597137,-3.0
60,Noiseless,0.9611451942740287,
60,white,0.9519427402862985,24.0
60,white,0.9478527607361963,21.0
60,white,0.9388548057259714,18.0
60,white,0.9353783231083844,15.0
60,white,0.9286298568507158,12.0
60,white,0.9184049079754601,9.0
60,white,0.903476482617587,6.0
60,white,0.8838445807770962,3.0
60,white,0.8562372188139059,0.0
60,white,0.8167689161554192,-3.0
60,pink,0.9513292433537832,24.0
60,pink,0.9468302658486708,21.0
60,pink,0.941717791411043,18.0
60,pink,0.9302658486707567,15.0
60,pink,0.9218813905930471,12.0
60,pink,0.9116564417177914,9.0
60,pink,0.8905930470347648,6.0
60,pink,0.8660531697341514,3.0
60,pink,0.8343558282208589,0.0
60,pink,0.772597137014315,-3.0
60,babble,0.9576687116564417,24.0
60,babble,0.9572597137014315,21.0
60,babble,0.9550102249488752,18.0
60,babble,0.9488752556237219,15.0
60,babble,0.941717791411043,12.0
60,babble,0.9325153374233128,9.0
60,babble,0.9169734151329243,6.0
60,babble,0.8887525562372188,3.0
60,babble,0.8449897750511247,0.0
60,babble,0.7828220858895706,-3.0
60,kitchen,0.9595092024539877,24.0
60,kitchen,0.9586912065439673,21.0
60,kitchen,0.9546012269938651,18.0
60,kitchen,0.9529652351738241,15.0
60,kitchen,0.9503067484662576,12.0
60,kitchen,0.9447852760736196,9.0
60,kitchen,0.9411042944785276,6.0
60,kitchen,0.9325153374233128,3.0
60,kitchen,0.9237218813905931,0.0
60,kitchen,0.9120654396728016,-3.0
60,office,0.9619631901840491,24.0
60,office,0.9627811860940695,21.0
60,office,0.9609406952965235,18.0
60,office,0.9601226993865031,15.0
60,office,0.9572597137014315,12.0
60,office,0.9546012269938651,9.0
60,office,0.9531697341513292,6.0
60,office,0.950920245398773,3.0
60,office,0.9460122699386503,0.0
60,office,0.9415132924335379,-3.0
60,living,0.9584867075664621,24.0
60,living,0.9574642126789366,21.0
60,living,0.9546012269938651,18.0
60,living,0.9519427402862985,15.0
60,living,0.9507157464212679,12.0
60,living,0.9476482617586912,9.0
60,living,0.941717791411043,6.0
60,living,0.9323108384458078,3.0
60,living,0.9161554192229039,0.0
60,living,0.8926380368098159,-3.0
80,Noiseless,0.9527607361963191,
80,white,0.9441717791411043,24.0
80,white,0.9415132924335379,21.0
80,white,0.9329243353783231,18.0
80,white,0.9306748466257668,15.0
80,white,0.9226993865030675,12.0
80,white,0.912883435582822,9.0
80,white,0.8946830265848671,6.0
80,white,0.8732106339468303,3.0
80,white,0.849079754601227,0.0
